Position,Change,Artist and Title,Days,Peak,Multiplier,Streams,Streams Change,7-Day Streams,7-Day Change,Total Streams
142,-29,V - Winter Ahead (w/ Park Hyo Shin),116,15,,1344231,"+8,905",9881850,"-32,058",225207268
143,-2,Kendrick Lamar - Money Trees (w/ Jay Rock),440,31,,1343320,"+94,357",9817569,"-81,819",561430539
144,-7,LE SSERAFIM - HOT,10,96,,1337182,"+70,186",10236284,"-171,096",14455487
145,+13,"PARTYNEXTDOOR - DIE TRYING (w/ Drake, Yebba)",39,51,,1335364,"+142,322",9697274,"-114,655",66595367
146,+8,Keane - Somewhere Only We Know,833,63,,1324804,"+126,173",9403443,"+58,078",1085822203
147,-27,Selena Gomez - Sunset Blvd (w/ benny blanco),5,101,,1322434,"+16,808",5634399,"+1,322,434",7015217
148,-4,"LISA - Born Again (w/ Doja Cat, RAYE)",46,6,,1319922,"+81,915",9719978,"-144,539",115507704
149,+15,The Chainsmokers - Closer (w/ Halsey),1518,1,(x82),1317805,"+138,313",9131537,"-58,357",1904362646
150,-20,Oscar Maydon - Tu Boda (w/ Fuerza Regida),174,4,,1313530,"+27,044",9633755,"-128,030",515483883
151,+18,The Weeknd - Cry For Me,53,5,,1300741,"+141,707",9538066,"-130,358",125455843
152,-2,Sabrina Carpenter - Juno,186,22,,1295498,"+82,081",9520370,"-7,208",312964753
153,RE,Olivia Rodrigo - traitor,564,7,,1293439,,1293439,"+1,293,439",1007044827
154,+1,a-ha - Take on Me,433,36,,1291857,"+93,578",8906947,"+34,244",585004535
155,-10,Frank Ocean - Pink + White,680,52,,1289788,"+61,565",8893829,"-6,855",986269258
156,-9,Chezile - Beanie,127,53,,1289657,"+66,628",8957203,"+1,289,657",205900863
157,=,Oscar Maydon - Amigos? No. (w/ Neton Vega),13,127,,1288776,"+94,836",9724659,"-49,971",17876815
158,-43,"Chuyin - Pika Pika (w/ Fuerza Regida, Jorsshh, Calle 24)",49,71,,1287875,"-38,361",9640776,"-121,711",77112704
159,-34,Journey - Don't Stop Believin' (2022 Remaster),306,61,,1282802,"-13,182",9539323,"-163,749",462771610
160,+22,Empire Of The Sun - We Are The People,17,157,,1276159,"+138,551",8892399,"+1,276,159",21178866
161,+9,Xavi - En Privado (w/ Manuel Turizo),5,159,,1274246,"+116,331",5076482,"+1,274,246",6268814
162,+16,"Arcane - Ma Meilleure Ennemie - from the series Arcane League of Legends (w/ League of Legends, Stromae, Pomme)",95,3,(x4),1272840,"+127,259",6428197,"+1,272,840",248164541
163,+37,Bruno Mars - Talking to the Moon,524,42,,1272228,"+168,759",3591606,"+16,101",558280278
164,RE,Linkin Park - In the End,654,8,,1269481,,7660028,"+26,884",857501383
165,+33,Nirvana - Smells Like Teen Spirit - Remastered,369,98,,1268649,"+161,844",8672256,"+1,268,649",340998825
166,-5,Miley Cyrus - Flowers,793,1,(x82),1265803,"+80,955",9048129,"-12,630",2444669974
167,+6,Billie Eilish - lovely (w/ Khalid),2509,19,,1261850,"+107,736",4925414,"+1,261,850",3131154373
168,+13,The Weeknd - São Paulo (w/ Anitta),125,7,,1261810,"+119,611",9173903,"-100,185",239455795
169,-9,Danny Ocean - Imagínate (w/ Kapo),88,37,,1261576,"+76,642",9407146,"-7,272",152393617
170,-11,Playboi Carti - CRUSH (w/ Travis Scott),11,2,(x1),1261561,"+74,135",12188684,"-1,627,950",30480597
171,+17,Arctic Monkeys - Do I Wanna Know?,1317,69,,1261270,"+128,222",7440933,"+1,261,270",1079065595
172,-33,Fleetwood Mac - Dreams - 2004 Remaster,644,17,,1254479,"-4,489",9268795,"-100,611",704402677
173,-1,Harry Styles - As It Was,1080,1,(x81),1254107,"+97,598",8980014,"-1,857",3740637329
174,+19,Benson Boone - Slow It Down,322,26,,1250001,"+133,547",3637192,"+1,250,001",645677198
175,-19,Don Omar - Danza Kuduro (w/ Lucenzo),454,79,,1249070,"+52,193",7894678,"-4,481",611568853
176,-2,The Killers - Mr. Brightside,1322,59,,1247270,"+94,645",9172037,"-22,787",1090313207
177,+2,Conan Gray - The Cut That Always Bleeds,26,154,,1244835,"+101,123",6290879,"-44,614",31685027
178,-7,Playboi Carti - GOOD CREDIT (w/ Kendrick Lamar),11,15,,1237895,"+80,082",12240982,"-1,356,131",26564276
179,RE,Adele - Easy On Me,797,1,(x47),1232601,,3739308,"-48,458",1602504640
180,-27,Feid - LUNA (w/ ATL Jacob),476,7,,1228608,"+28,103",9505607,"-87,025",1195350328
181,-15,Travis Scott - FE!N,557,3,(x1),1228525,"+58,273",8834297,"-33,440",1170444916
182,-34,SZA - 30 For 30,93,28,,1225423,"+5,163",9652776,"-261,437",170097043
183,+1,NIKI - You'll Be in My Heart - Spotify Singles,2,183,,1225299,"+88,666",2361932,"+1,225,299",2361932
184,+6,Eminem - Without Me,1357,29,,1224329,"+99,551",8938377,"-19,862",1688008879
185,-2,FloyyMenor - PELIGROSA,209,23,,1222535,"+85,857",6228104,"+1,222,535",353397548
186,=,Sleepy Hallow - A N X I E T Y (w/ Doechii),26,11,,1219851,"+83,485",10068039,"-630,821",61133160
187,-22,TOTO - Africa,575,113,,1218524,"+41,724",8882579,"-145,824",441114343
188,-20,Ruth B. - Dandelions,1180,32,,1218459,"+56,410",4873300,"+1,218,459",1618469926
189,-2,Mitski - My Love Mine All Mine,538,2,(x4),1214622,"+78,805",2350439,"+1,214,622",1402584110
190,-10,Future - Like That (w/ Metro Boomin),219,4,,1213041,"+70,723",8818709,"-124,905",576621545
191,+3,Fetty Wap - Trap Queen,558,7,,1209752,"+93,902",4780266,"+1,209,752",409264796
192,RE,Benson Boone - In The Stars,199,49,,1207404,,1207404,"+1,207,404",228269157
193,-8,Lady Gaga - Poker Face,60,93,,1207318,"+70,775",7530001,"+1,207,318",78892608
194,-31,SZA - BMF,92,16,,1205032,"+25,288",8794854,"-129,523",195028638
195,RE,Hotel Ugly - Shut up My Moms Calling,706,63,,1204363,,1204363,"+1,204,363",971434162
196,RE,Beéle - sobelove,4,169,,1204141,,5111454,"+1,204,141",5111454
197,RE,John Legend - All of Me,1895,16,,1202841,,4973838,"+1,202,841",1131141026
198,-22,TV Girl - Lovers Rock,574,92,,1201915,"+52,362",4810906,"+1,201,915",759671298
199,-10,Natanael Cano - Amapola (w/ Nueva H),77,79,,1195963,"+68,683",8596187,"-82,311",109502690
200,-38,Bad Bunny - WELTiTA (w/ Chuwi),79,10,,1195000,"+13,851",9143542,"-50,008",204870120
