Position,Change,Artist and Title,Days,Peak,Multiplier,Streams,Streams Change,7-Day Streams,7-Day Change,Total Streams
1,=,Lady Gaga - Die With A Smile (w/ Bruno Mars),228,1,(x163),6092137,"+123,908",45216017,"-322,576",2161088504
2,=,ROSÉ - APT. (w/ Bruno Mars),165,1,(x28),4971352,"-206,674",38184430,"-457,023",1383072908
3,=,Billie Eilish - BIRDS OF A FEATHER,319,1,(x25),4834044,"+190,558",35512202,"-167,644",2283419793
4,+2,Alex Warren - Ordinary,53,4,,4554931,"+678,815",31360794,"+227,177",152130713
5,-1,Doechii - Anxiety,27,2,(x6),4314822,"+236,444",32753848,"-521,645",134518230
6,-1,Kendrick Lamar - luther,130,2,(x20),4297979,"+285,217",31378034,"-392,647",713017622
7,=,Bad Bunny - DtMF,86,1,(x16),3918500,"+173,103",28720139,"-119,419",589539192
8,=,Gracie Abrams - That’s So True,165,3,(x7),3780128,"+156,607",27974431,"-283,889",851518614
9,+3,Ariana Grande - twilight zone,4,3,(x1),3609815,"+386,148",15915002,"+3,609,815",15915002
10,-1,JENNIE - like JENNIE,25,7,,3435188,"+26,056",26583217,"-508,268",99313468
11,=,Gigi Perez - Sailor Song,226,6,,3424308,"+170,644",24201867,"-47,842",809820830
12,+1,Bad Bunny - BAILE INoLVIDABLE,86,3,(x1),3319122,"+115,690",24885685,"-224,912",439420484
13,-3,Jimin - Who,256,1,(x20),3260463,"-46,849",23322150,"-323,803",1434402316
14,+5,Tate McRae - Sports car,67,14,,3217377,"+394,316",22150100,"+240,622",191767847
15,=,Benson Boone - Beautiful Things,438,1,(x35),3135108,"+186,091",23107686,"-206,053",1961109419
16,+2,Lola Young - Messy,119,8,,3093884,"+252,071",22910898,"-135,510",437128235
17,-3,Billie Eilish - WILDFLOWER,319,8,,3089980,"+119,715",23380800,"-264,931",1009576716
18,-1,Alemán - Te Quería Ver (w/ Neton Vega),55,17,,3087679,"+235,167",21280922,"+408,874",144232267
19,-3,Kendrick Lamar - Not Like Us,330,1,(x10),3039057,"+184,644",23336104,"-440,045",1348190690
20,+1,The Weeknd - Timeless (w/ Playboi Carti),186,2,(x1),3010222,"+235,457",22436238,"-202,368",713223650
21,-1,Sabrina Carpenter - Espresso,354,1,(x32),2896583,"+92,840",21840015,"-215,826",2063890435
22,=,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",34,22,,2894767,"+293,574",20621386,"-20,676",84085310
23,+2,Lil Tecca - Dark Thoughts,18,18,,2801416,"+280,023",20239225,"-30,634",47715366
24,-1,Kendrick Lamar - All The Stars (w/ SZA),662,2,(x14),2778517,"+183,704",20734353,"-321,359",1153670311
25,-1,Bad Bunny - EoO,86,9,,2724194,"+161,981",20180427,"-100,470",271574780
26,+1,Lady Gaga - Abracadabra,57,2,(x1),2690029,"+255,852",19674118,"-148,095",233876127
27,+1,Drake - NOKIA,46,27,,2638728,"+229,803",18638292,"-6,719",118313389
28,+1,Teddy Swims - Lose Control,502,5,,2589032,"+182,596",19295575,"-117,836",1580553801
29,-3,"Chappell Roan - Good Luck, Babe!",357,5,,2584455,"+147,250",19066800,"-159,311",1389178660
30,+3,Ariana Grande - dandelion,4,17,,2571080,"+332,347",10736339,"+2,571,080",10736339
31,-1,Bad Bunny - NUEVAYoL,86,5,,2406478,"+81,920",17832837,"-143,087",365777455
32,-1,Chappell Roan - Pink Pony Club,227,18,,2400610,"+90,589",17421608,"-28,431",434443233
