Position,Change,Artist and Title,Days,Peak,Multiplier,Streams,Streams Change,7-Day Streams,7-Day Change,Total Streams
108,+15,JENNIE - ExtraL (w/ Doechii),54,18,,1472578,"+62,229",9412892,"+66,302",112567767
109,-5,Kushagra - Finding Her (w/ Bharath),8,95,,1464428,"-12,874",9972432,"+202,558",11234302
110,+15,Taylor Swift - Cruel Summer,799,2,(x18),1458473,"+54,106",9907455,"+63,349",2402959991
111,+13,Empire Of The Sun - We Are The People,39,89,,1456735,"+47,000",10241196,"-195,886",53115641
112,-3,Vance Joy - Riptide,2248,16,,1452233,"+5,732",10168468,"-24,941",2157005018
113,-3,Raim Laode - Lesung Pipi,3,99,,1451263,"+8,903",4297895,"+1,451,263",4297895
114,-12,"Tyler, The Creator - Like Him (w/ Lola Young)",170,20,,1449116,"-37,474",10512327,"-176,683",383326360
115,+2,Billie Eilish - CHIHIRO,332,3,(x1),1448721,"+30,036",9885142,"-54,801",763661812
116,+22,Los Dareyes De La Sierra - Vita Fer (w/ Tito Double P),11,116,,1440584,"+85,634",9403234,"+132,867",14338823
117,-2,One Direction - Night Changes,1098,6,,1440374,"+20,681",10077876,"+30,719",1359634647
118,+40,Lady Gaga - Bad Romance,4,118,,1435753,"+125,118",3850222,"+1,435,753",4302191
119,+18,Oscar Maydon - Amigos? No. (w/ Neton Vega),35,88,,1433270,"+76,880",10383060,"-58,482",49142383
120,+35,Benson Boone - Slow It Down,334,26,,1431189,"+118,314",7598697,"+1,431,189",660945725
121,-9,Don Toliver - No Pole,154,58,,1427553,"-4,203",10055691,"-105,413",253311062
122,+11,Don Omar - Danza Kuduro (w/ Lucenzo),476,79,,1423989,"+44,974",9933811,"+79,544",641987388
123,-15,Earl Agustin - Tibok,34,42,,1423394,"-35,707",10673051,"-93,854",58430390
124,+6,Bruno Mars - That's What I Like,983,5,,1420706,"+32,675",9745948,"+36,847",1366879089
125,-7,Playboi Carti - RATHER LIE (w/ The Weeknd),33,3,(x1),1410214,"-7,597",10875065,"-420,386",92621837
126,-31,Ed Sheeran - Shape of You,2481,1,(x98),1403382,"-126,176",10476645,"-103,702",3719119331
127,+32,Lana Del Rey - Summertime Sadness,842,74,,1402830,"+93,938",8983207,"+196,728",1099668485
128,+33,Lady Gaga - Just Dance (w/ Colby O'Donis),4,128,,1396726,"+98,715",3802082,"+1,396,726",4992508
129,-3,The Weeknd - Blinding Lights,1961,1,(x82),1388391,"-9,915",9842796,"+18,620",4706635104
130,+10,Rauw Alejandro - Khé? (w/ Romeo Santos),152,21,,1384358,"+39,456",9767796,"+17,698",342129514
131,+49,Lady Gaga - Judas,2,131,,1379306,"+142,727",2615885,"+1,379,306",2615885
132,=,Doechii - DENIAL IS A RIVER,103,16,,1373907,"-6,590",9904265,"-140,340",240907686
133,-20,"Macklemore & Ryan Lewis - Can't Hold Us (w/ Macklemore, Ryan Lewis, Ray Dalton)",985,57,,1371349,"-50,931",10259291,"-109,518",1236436711
134,-5,Keane - Somewhere Only We Know,855,63,,1370584,"-18,869",9361169,"-78,275",1114740676
135,+15,Nirvana - Smells Like Teen Spirit - Remastered,391,98,,1368981,"+45,965",9177156,"+79,566",369060743
136,+13,Teddy Swims - The Door,214,88,,1367892,"+44,332",9693108,"+99,229",298243589
137,-32,Bruno Mars - When I Was Your Man,1195,28,,1367197,"-103,276",9830581,"-16,685",1279592373
138,-19,Morgan Wallen - Just In Case,26,83,,1360928,"-55,594",9833463,"-3,882",37360098
