Position,Change,Artist and Title,Days,Peak,Multiplier,Streams,Streams Change,7-Day Streams,7-Day Change,Total Streams
1,=,Lady Gaga - Die With A Smile (w/ Bruno Mars),235,1,(x170),5880995,"+179,892",42914969,"-211,142",2204003473
2,+1,Billie Eilish - BIRDS OF A FEATHER,326,1,(x25),4946905,"+387,555",34357802,"+112,861",2317777595
3,+1,Alex Warren - Ordinary,60,2,(x1),4909280,"+726,926",33065705,"+354,349",185196418
4,-2,ROSÉ - APT. (w/ Bruno Mars),172,1,(x28),4505604,"-180,700",33662419,"-465,748",1416735327
5,=,Gracie Abrams - That’s So True,172,3,(x7),4015184,"+296,013",28026209,"+235,056",879544823
6,=,Kendrick Lamar - luther,137,2,(x20),3940529,"+308,108",28679476,"-357,450",741697098
7,+1,Doechii - Anxiety,34,2,(x6),3568169,"+189,292",27702351,"-746,653",162220581
8,-1,Bad Bunny - DtMF,93,1,(x16),3547704,"+149,214",26564549,"-370,796",616103741
9,=,Gigi Perez - Sailor Song,233,6,,3484874,"+267,074",24218344,"+60,566",834039174
10,+1,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",41,9,,3435359,"+393,785",24092595,"+540,592",108177905
11,-1,JENNIE - like JENNIE,32,7,,3301673,"+236,467",23623609,"-133,515",122937077
12,=,Billie Eilish - WILDFLOWER,326,8,,3289799,"+297,668",22631856,"+199,819",1032208572
13,+5,Alemán - Te Quería Ver (w/ Neton Vega),62,13,,3189715,"+313,605",22109767,"+102,036",166342034
14,+5,Lola Young - Messy,126,8,,3151905,"+282,817",22694975,"+58,021",459823210
15,+1,Drake - NOKIA,53,15,,3141476,"+235,723",21636190,"+502,748",139949579
16,+4,The Weeknd - Timeless (w/ Playboi Carti),193,2,(x1),3130631,"+328,728",21525068,"+120,409",734748718
17,-3,Benson Boone - Beautiful Things,445,1,(x35),3116162,"+146,246",22980359,"-18,946",1984089778
18,-5,Jimin - Who,263,1,(x20),3099752,"+119,491",21572723,"-160,711",1455975039
19,-4,Bad Bunny - BAILE INoLVIDABLE,93,3,(x1),3060640,"+92,511",22828088,"-258,482",462248572
20,+1,Tate McRae - Sports car,74,14,,3019951,"+311,630",22105624,"-197,426",213873471
