Position,Change,Artist and Title,Days,Peak,Multiplier,Streams,Streams Change,7-Day Streams,7-Day Change,Total Streams
1,=,Lady Gaga - Die With A Smile (w/ Bruno Mars),236,1,(x171),6045246,"+164,251",42706988,"-207,981",2210048719
2,=,Billie Eilish - BIRDS OF A FEATHER,327,1,(x25),5406833,"+459,928",34858192,"+500,390",2323184428
3,=,Alex Warren - Ordinary,61,2,(x1),4963110,"+53,830",33288198,"+222,493",190159528
4,=,ROSÉ - APT. (w/ Bruno Mars),173,1,(x28),4510266,"+4,662",33456017,"-206,402",1421245593
5,+1,Kendrick Lamar - luther,138,2,(x20),4154103,"+213,574",28585935,"-93,541",745851201
6,-1,Gracie Abrams - That’s So True,173,3,(x7),3973720,"-41,464",27991481,"-34,728",883518543
7,+2,Gigi Perez - Sailor Song,234,6,,3884547,"+399,673",24440511,"+222,167",837923721
8,=,Bad Bunny - DtMF,94,1,(x16),3769765,"+222,061",26352522,"-212,027",619873506
9,-2,Doechii - Anxiety,35,2,(x6),3614248,"+46,079",27072619,"-629,732",165834829
10,=,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",42,9,,3468476,"+33,117",24040582,"-52,013",111646381
11,+1,Billie Eilish - WILDFLOWER,327,8,,3456969,"+167,170",22907969,"+276,113",1035665541
12,+2,Lola Young - Messy,127,8,,3369831,"+217,926",22880484,"+185,509",463193041
13,-2,JENNIE - like JENNIE,33,7,,3354070,"+52,397",23405284,"-218,325",126291147
14,-1,Alemán - Te Quería Ver (w/ Neton Vega),63,13,,3288166,"+98,451",22226394,"+116,627",169630200
15,+4,Bad Bunny - BAILE INoLVIDABLE,94,3,(x1),3194698,"+134,058",22662065,"-166,023",465443270
16,+5,Sabrina Carpenter - Espresso,362,1,(x32),3181367,"+164,944",21769021,"+162,076",2088678747
17,+3,Tate McRae - Sports car,75,14,,3167604,"+147,653",21976266,"-129,358",217041075
18,-2,The Weeknd - Timeless (w/ Playboi Carti),194,2,(x1),3167216,"+36,585",21618663,"+93,595",737915934
19,-4,Drake - NOKIA,54,15,,3127229,"-14,247",21862437,"+226,247",143076808
20,-2,Jimin - Who,264,1,(x20),3004480,"-95,272",21405718,"-167,005",1458979519
21,-4,Benson Boone - Beautiful Things,446,1,(x35),2936018,"-180,144",22585242,"-395,117",1987025796
22,+1,Kendrick Lamar - Not Like Us,338,1,(x10),2849937,"+20,580",20900101,"-244,846",1372185574
23,+2,Ariana Grande - twilight zone,12,3,(x1),2849630,"+192,344",21699649,"-754,749",41219030
24,=,Kendrick Lamar - All The Stars (w/ SZA),670,2,(x14),2838121,"+42,926",19968826,"-12,338",1176489596
25,-3,WizTheMc - Show Me Love (w/ bees & honey),35,22,,2788731,"-62,156",18519338,"+625,226",69378308
26,+1,"The Weeknd - One Of The Girls (w/ JENNIE, Lily-Rose Depp)",549,2,(x2),2656254,"+89,122",17453271,"+218,991",1650499454
27,+1,Bad Bunny - EoO,94,9,,2620775,"+66,464",18586950,"-70,729",292853234
28,+3,Lady Gaga - Abracadabra,65,2,(x1),2524885,"+109,402",18010366,"-216,327",254627705
29,+4,Lil Tecca - Dark Thoughts,26,18,,2488081,"+115,497",17325202,"-284,994",67813643
30,-1,Teddy Swims - Lose Control,510,5,,2472084,"-63,951",18400020,"-228,403",1601654308
31,-5,"Chappell Roan - Good Luck, Babe!",365,5,,2471936,"-97,622",17569168,"-88,428",1409308192
32,=,The Goo Goo Dolls - Iris,572,29,,2439496,"+53,563",16948178,"-135,028",920817492
33,-3,Neton Vega - Morena (w/ Peso Pluma),53,25,,2434706,"-68,359",17960554,"-33,812",102704731
