Position,Change,Artist and Title,Days,Peak,Multiplier,Streams,Streams Change,7-Day Streams,7-Day Change,Total Streams
1,=,Lady Gaga - Die With A Smile (w/ Bruno Mars),232,1,(x167),6295383,"+19,567",43922544,"-506,138",2186134320
2,+1,Alex Warren - Ordinary,57,2,(x1),4998865,"+154,765",31999509,"+267,296",171510607
3,+1,ROSÉ - APT. (w/ Bruno Mars),169,1,(x28),4998350,"+260,769",35283235,"-731,245",1402213950
4,-2,Billie Eilish - BIRDS OF A FEATHER,323,1,(x25),4968085,"-64,402",34570777,"-379,374",2303328606
5,+1,Doechii - Anxiety,31,2,(x6),4182897,"+32,678",29940904,"-678,466",151294638
6,-1,Kendrick Lamar - luther,134,2,(x20),4173425,"-261,778",29884570,"-404,135",730151674
7,=,Gracie Abrams - That’s So True,169,3,(x7),4090244,"-20,158",27731839,"-126,760",867784029
8,=,Bad Bunny - DtMF,90,1,(x16),3976058,"+68,875",27643256,"-320,838",605209444
9,+3,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",38,9,,3607777,"+155,352",22504399,"+485,566",98048811
10,=,Ariana Grande - twilight zone,8,3,(x1),3504748,"-25,115",24843311,"-1,875,783",30223842
11,+5,Benson Boone - Beautiful Things,442,1,(x35),3498056,"+174,181",22965643,"-9,722",1974565892
12,+3,Lola Young - Messy,123,8,,3479501,"+121,277",22614640,"+10,352",450415967
13,-4,Gigi Perez - Sailor Song,230,6,,3462326,"-200,947",24325213,"-42,306",824033136
14,-3,JENNIE - like JENNIE,29,7,,3409041,"-101,643",24567968,"-556,054",113320108
15,-1,Bad Bunny - BAILE INoLVIDABLE,90,3,(x1),3398480,"+36,197",23682172,"-335,164",452819178
16,+4,Drake - NOKIA,50,16,,3350460,"+192,570",20116907,"+619,107",130705743
17,=,Tate McRae - Sports car,71,14,,3338375,"+20,347",22481764,"+99,222",205057770
18,=,Alemán - Te Quería Ver (w/ Neton Vega),59,17,,3274006,"-3,293",22009671,"+71,545",157081240
19,+3,Sabrina Carpenter - Espresso,358,1,(x32),3248829,"+184,002",21296468,"-88,168",2076257211
20,+1,Kendrick Lamar - Not Like Us,334,1,(x10),3225110,"+121,729",21804765,"-311,939",1360703211
21,-2,The Weeknd - Timeless (w/ Playboi Carti),190,2,(x1),3216649,"+12,043",21500839,"-170,683",725777115
22,-9,Billie Eilish - WILDFLOWER,323,8,,3216148,"-224,398",22590799,"-281,502",1022860785
23,=,Jimin - Who,260,1,(x20),3087631,"+47,298",22179142,"-134,186",1446895257
24,NEW,Sleep Token - Caramel,1,24,,3032118,,3032118,"+3,032,118",3032118
25,-1,Kendrick Lamar - All The Stars (w/ SZA),666,2,(x14),2974216,"+66,650",19859160,"-39,792",1165280396
26,=,Bad Bunny - EoO,90,9,,2878575,"+139,374",19206411,"-154,162",282502208
27,NEW,Ed Sheeran - Azizam,1,27,,2844051,,2844051,"+2,844,051",2844051
28,+3,WizTheMc - Show Me Love (w/ bees & honey),31,28,,2837660,"+288,662",15848894,"+598,437",58587312
29,-2,Teddy Swims - Lose Control,506,5,,2807867,"+101,447",18857154,"-134,051",1591528616
30,-5,Lady Gaga - Abracadabra,61,2,(x1),2747720,"-3,214",18958393,"-246,584",244805284
31,-1,Neton Vega - Morena (w/ Peso Pluma),49,29,,2707349,"+148,613",16377258,"+548,574",92535534
32,-4,Lil Tecca - Dark Thoughts,22,18,,2614103,"-35,771",18836582,"-418,574",58487507
33,NEW,Miley Cyrus - End of the World,1,33,,2589116,,2589116,"+2,589,116",2589116
34,+1,The Goo Goo Dolls - Iris,568,29,,2576196,"+172,863",16861868,"+162,462",911336887
35,-6,"Chappell Roan - Good Luck, Babe!",361,5,,2575879,"+4,069",17955889,"-333,761",1399356930
36,-3,Bad Bunny - NUEVAYoL,90,5,,2571879,"+126,477",17299671,"-34,242",375628448
37,-5,"The Weeknd - One Of The Girls (w/ JENNIE, Lily-Rose Depp)",545,2,(x2),2513481,"+26,462",16917331,"-239,421",1640464236
38,-4,Chappell Roan - Pink Pony Club,231,18,,2485244,"+57,024",17056211,"-169,728",444136673
39,-2,Kendrick Lamar - tv off (w/ Lefty Gunplay),133,5,,2380544,"+7,666",16466851,"-244,880",459888500
40,-4,Alleh - capaz (merengueton) (w/ Yorghaki),104,34,,2372225,"-20,858",16192362,"-103,589",224930939
41,+1,Sabrina Carpenter - Taste,225,2,(x3),2332954,"+63,589",15858321,"-45,433",933016463
42,+6,Fuerza Regida - ME JALO (w/ Grupo Frontera),99,38,,2321484,"+136,534",15498139,"+42,117",191339080
43,-4,"Jombriel - VITAMINA (w/ DFZM, Jøtta)",29,39,,2309113,"+2,155",13458707,"+692,436",47560282
44,-1,Lord Huron - The Night We Met,977,15,,2292162,"+24,971",15959691,"+61,766",1719653899
45,+8,"Bad Bunny - VeLDÁ (w/ Omar Courtz, Dei V)",90,8,,2229027,"+79,787",15107305,"-99,234",286868090
46,-8,Neton Vega - Loco,99,14,,2219772,"-121,089",14744840,"+254,294",271943717
47,-7,Ariana Grande - dandelion,8,17,,2219362,"-62,358",16569986,"-1,209,259",19998607
48,-2,KAROL G - Si Antes Te Hubiera Conocido,288,4,,2206298,"-10,309",15186600,"-106,177",1098703570
49,+3,Bad Bunny - VOY A LLeVARTE PA PR,90,7,,2188019,"+36,753",15172137,"-164,259",322898507
50,-1,sombr - back to friends,18,49,,2178018,"-4,089",13716477,"+258,438",31349992
51,-7,yung kai - blue,125,22,,2174755,"-64,657",15579824,"-256,775",299893316
52,-11,j-hope - MONA LISA,15,12,,2170937,"-109,634",15171391,"-265,557",37553214
53,-3,Arctic Monkeys - I Wanna Be Yours,1003,11,,2157259,"-6,271",14873414,"-67,658",2413101455
54,-9,The Neighbourhood - Sweater Weather,1769,14,,2148907,"-71,391",15105750,"-135,331",3061558008
55,+2,Teddy Swims - Bad Dreams,153,41,,2126615,"+99,733",14087428,"+33,001",268739026
56,+9,FloyyMenor - Gata Only (w/ Cris Mj),418,2,(x1),2121440,"+220,024",12764540,"+323,227",1492236567
57,-10,The Marías - No One Noticed,147,46,,2112940,"-100,297",14437885,"+87,346",252521082
58,=,Fuerza Regida - Por Esos Ojos,52,34,,2110489,"+143,267",13872478,"+264,468",102642632
59,-4,Ariana Grande - we can't be friends (wait for your love),393,1,(x13),2104072,"+26,390",15048017,"-535,712",1312767149
60,+10,The Police - Every Breath You Take,1268,34,,2094005,"+217,024",13498542,"+161,032",1519218408
61,-7,Playboi Carti - RATHER LIE (w/ The Weeknd),22,3,(x1),2029154,"-70,351",15058991,"-665,931",74731780
62,-1,Bruno Mars - Just the Way You Are,868,27,,2016971,"+93,987",13650260,"-121,922",1197848385
63,+15,Tate McRae - greedy,523,1,(x34),2001157,"+274,393",12187051,"+140,709",1642197143
64,-13,Coldplay - Yellow,1558,15,,1991819,"-165,255",14483506,"-213,624",2196722628
65,-5,Sabrina Carpenter - Busy Woman,50,11,,1988621,"+48,249",13152100,"+168,816",109319296
66,-3,Tito Double P - TATTOO,36,21,,1985654,"+73,126",14241557,"-284,466",85683610
67,-11,"Tyler, The Creator - See You Again (w/ Kali Uchis)",762,13,,1979141,"-53,729",14055424,"-146,776",1505288536
68,=,Neton Vega - M&M,43,59,,1976466,"+92,506",12527538,"+315,782",71162525
69,NEW,BigXthaPlug - All The Way (w/ Bailey Zimmerman),1,69,,1959327,,1959327,"+1,959,327",1959327
70,-4,Hozier - Too Sweet,379,2,(x10),1955944,"+62,521",13023272,"-95,864",1389720645
71,=,d4vd - Feel It,66,64,,1955658,"+84,137",12896342,"+120,750",104635174
72,-3,Beéle - Mi Refe (w/ Ovy On The Drums),93,52,,1952812,"+72,289",13220470,"-84,065",177564839
73,-9,Selena Gomez - Ojos Tristes (w/ benny blanco),14,54,,1940599,"+28,950",13457972,"-85,227",25268102
74,-7,Coldplay - Viva La Vida,980,27,,1929532,"+41,294",13045124,"-194,360",1522787878
75,-13,Tate McRae - Revolving door,43,18,,1926074,"+7,128",13197039,"-41,400",104770527
76,-4,Sabrina Carpenter - Please Please Please,302,1,(x19),1904603,"+39,326",13076795,"-122,572",1336839589
77,-18,Playboi Carti - EVIL J0RDAN,22,1,(x2),1875255,"-72,616",14270259,"-743,420",84093815
78,-5,Arctic Monkeys - 505,1188,40,,1872818,"+49,334",12774984,"-28,158",1664400643
79,-2,Bruno Mars - Locked out of Heaven,1254,21,,1852291,"+107,247",12464719,"-39,020",1533903844
80,-6,NIKI - You'll Be in My Heart - Spotify Singles,13,73,,1804751,"-3,405",11214443,"+523,734",18730970
81,-1,Gabito Ballesteros - 7 Dias (w/ Tito Double P),64,15,,1795542,"+74,932",12404977,"-76,505",149515245
82,-1,Shaboozey - A Bar Song (Tipsy),355,5,,1791944,"+75,255",11736245,"-38,475",1175064261
83,-8,Rauw Alejandro - Qué Pasaría... (w/ Bad Bunny),141,13,,1791199,"+14,359",12055145,"-42,933",381379942
84,+6,sombr - undressed,9,84,,1772871,"+154,353",10454330,"+438,256",13033930
85,NEW,Eladio Carrion - Vetements (w/ Myke Towers),1,85,,1743707,,1743707,"+1,743,707",1743707
86,+16,Malcolm Todd - Chest Pain (I Love),4,86,,1742726,"+202,348",6024062,"+1,742,726",6024062
87,+7,ATLXS - PASSO BEM SOLTO - Slowed,9,87,,1732767,"+139,435",10150892,"+433,338",12675070
88,+16,"Pitbull - Give Me Everything (w/ Ne-Yo, AFROJACK, Nayer)",234,58,,1731402,"+199,189",10896107,"+68,932",329278583
89,-6,Chrystal - The Days - NOTION Remix (w/ NOTION),89,49,,1718035,"+40,087",11243635,"-4,502",152174059
90,-11,Imogen Heap - Headlock,92,63,,1703059,"-21,198",11727024,"+36,275",146604991
91,+22,"Macklemore & Ryan Lewis - Can't Hold Us (w/ Macklemore, Ryan Lewis, Ray Dalton)",974,57,,1698171,"+190,172",10696904,"-80,626",1220235531
92,-7,Alex Warren - Carry You Home,70,85,,1696761,"+37,709",11173401,"+111,822",94887209
93,-11,Doechii - DENIAL IS A RIVER,92,16,,1683114,"-1,547",11857837,"-269,968",225110535
94,-10,Jung Kook - Seven (w/ Latto),630,1,(x71),1658087,"-16,124",11748323,"-39,732",2052736555
95,-19,"Gracie Abrams - I Love You, I'm Sorry",249,15,,1653407,"-93,786",11401332,"+2,861",553723034
96,-9,Don Toliver - No Pole,143,58,,1647549,"+17,661",10810666,"+15,743",237471996
97,+1,Djo - End of Beginning,413,1,(x3),1635701,"+76,144",10577930,"-26,166",1349744274
98,+9,Morgan Wallen - Just In Case,15,83,,1634428,"+112,288",10617854,"+24,404",22125399
99,-6,Ravyn Lenae - Love Me Not,17,93,,1625160,"+30,019",10410264,"+210,009",23779795
100,-8,The Weeknd - Starboy (w/ Daft Punk),1744,1,(x40),1611656,"+15,445",10854272,"+13,177",3019970696
101,-6,Post Malone - I Had Some Help (Feat. Morgan Wallen) (w/ Morgan Wallen),329,1,(x1),1604980,"+30,706",10814513,"-13,015",1005522140
102,-5,Radiohead - Creep,491,93,,1596522,"+31,040",10457619,"+41,547",653333421
103,=,Xavi - En Privado (w/ Manuel Turizo),16,94,,1590078,"+51,285",10695820,"+65,294",22832156
104,-15,"Tyler, The Creator - Like Him (w/ Lola Young)",159,20,,1589190,"-32,057",11393290,"-143,936",366612766
105,+14,Empire Of The Sun - We Are The People,28,105,,1586391,"+107,760",9994993,"+192,986",36613673
106,-10,Benson Boone - Sorry I'm Here For Someone Else,23,77,,1580679,"+13,519",6414034,"+1,580,679",32621643
107,-7,The Chainsmokers - Something Just Like This (w/ Coldplay),1762,2,(x14),1578585,"+27,150",10769054,"-75,592",2120120901
108,+16,Ed Sheeran - Photograph,2009,13,,1566984,"+123,539",10173682,"+54,875",1441578224
109,+13,Clave Especial - COMO CAPO (w/ Fuerza Regida),4,109,,1565461,"+103,899",5727856,"+1,565,461",5727856
110,+18,Natasha Bedingfield - Unwritten,349,14,,1554220,"+122,883",10005458,"+16,717",657036411
111,+21,Linkin Park - Up From the Bottom,8,41,,1552999,"+133,588",10222016,"-1,056,752",12831767
112,+21,Ed Sheeran - Shape of You,2470,1,(x98),1548587,"+131,211",10311430,"-88,332",3702814750
113,+34,Don Omar - Danza Kuduro (w/ Lucenzo),465,79,,1540851,"+170,804",9550418,"+84,264",626489815
114,+20,The Weeknd - Blinding Lights,1950,1,(x82),1536209,"+119,406",9785963,"+54,448",4691273363
115,-5,Linkin Park - Numb,386,12,,1526260,"+11,717",10347667,"-87,513",578650841
116,+1,Chappell Roan - The Giver,22,9,,1526129,"+44,927",10687969,"-336,816",50809062
117,-11,Arctic Monkeys - No. 1 Party Anthem,145,70,,1523731,"-4,505",10453783,"-10,716",230529829
118,-27,Ariana Grande - intro (end of the world) - extended,8,27,,1517725,"-87,929",11413209,"-1,514,094",14445028
119,-31,Ariana Grande - Hampstead,8,33,,1512536,"-108,973",12343273,"-1,391,809",15247618
120,-5,Ed Sheeran - Perfect,2725,3,(x1),1506780,"+6,396",10543301,"-223,209",3047856719
121,+36,Taylor Swift - Cruel Summer,788,2,(x18),1503567,"+164,123",9635245,"+27,505",2387406619
122,-36,Ariana Grande - warm,8,20,,1500230,"-136,499",12631468,"-1,836,594",15968292
123,+14,Vance Joy - Riptide,2237,16,,1490319,"+94,843",9730760,"+50,328",2141126600
