Position,Change,Artist and Title,Days,Peak,Multiplier,Streams,Streams Change,7-Day Streams,7-Day Change,Total Streams
1,=,Lady Gaga - Die With A Smile (w/ Bruno Mars),227,1,(x162),5968229,"-848,133",45538593,"-229,365",2154996367
2,=,ROSÉ - APT. (w/ Bruno Mars),164,1,(x28),5178026,"-814,789",38641453,"-316,376",1378101556
3,=,Billie Eilish - BIRDS OF A FEATHER,318,1,(x25),4643486,"-540,948",35679846,"-17,506",2278585749
4,=,Doechii - Anxiety,26,2,(x6),4078378,"-692,918",33275493,"-465,398",130203408
5,=,Kendrick Lamar - luther,129,2,(x20),4012762,"-427,015",31770681,"-543,824",708719643
6,+1,Alex Warren - Ordinary,52,5,,3876116,"-312,452",31133617,"+264,058",147575782
7,-1,Bad Bunny - DtMF,85,1,(x16),3745397,"-563,710",28839558,"-150,171",585620692
8,=,Gracie Abrams - That’s So True,164,3,(x7),3623521,"-439,254",28258320,"-4,756",847738486
9,+1,JENNIE - like JENNIE,24,7,,3409132,"-307,876",27091485,"-208,196",95878280
10,+11,Jimin - Who,255,1,(x20),3307312,"+188,886",23645953,"-249,082",1431141853
11,+1,Gigi Perez - Sailor Song,225,6,,3253664,"-181,271",24249709,"+29,173",806396522
12,-1,Ariana Grande - twilight zone,3,3,(x1),3223667,"-477,322",12305187,"+3,223,667",12305187
13,-4,Bad Bunny - BAILE INoLVIDABLE,85,3,(x1),3203432,"-557,492",25110597,"-133,860",436101362
14,+2,Billie Eilish - WILDFLOWER,318,8,,2970265,"-276,220",23645731,"-167,156",1006486736
15,-2,Benson Boone - Beautiful Things,437,1,(x35),2949017,"-476,028",23313739,"-130,802",1957974311
16,-2,Kendrick Lamar - Not Like Us,329,1,(x10),2854413,"-544,361",23776149,"-447,146",1345151633
17,+1,Alemán - Te Quería Ver (w/ Neton Vega),54,17,,2852512,"-367,995",20872048,"+358,327",141144588
18,-3,Lola Young - Messy,118,8,,2841813,"-549,398",23046408,"-207,059",434034351
19,+1,Tate McRae - Sports car,66,14,,2823061,"-328,342",21909478,"+307,457",188550470
20,-3,Sabrina Carpenter - Espresso,353,1,(x32),2803743,"-425,623",22055841,"-145,653",2060993852
21,-2,The Weeknd - Timeless (w/ Playboi Carti),185,2,(x1),2774765,"-387,622",22638606,"-278,186",710213428
22,=,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",33,22,,2601193,"-443,745",20642062,"-50,771",81190543
23,+3,Kendrick Lamar - All The Stars (w/ SZA),661,2,(x14),2594813,"-280,932",21055712,"-345,533",1150891794
24,-1,Bad Bunny - EoO,85,9,,2562213,"-430,363",20280897,"-27,623",268850586
25,+3,Lil Tecca - Dark Thoughts,17,18,,2521393,"-220,239",20269859,"-97,281",44913950
26,+1,"Chappell Roan - Good Luck, Babe!",356,5,,2437205,"-318,754",19226111,"-102,285",1386594205
27,-3,Lady Gaga - Abracadabra,56,2,(x1),2434177,"-470,853",19822213,"-177,745",231186098
28,+2,Drake - NOKIA,45,27,,2408925,"-267,975",18645011,"+3,137",115674661
29,-4,Teddy Swims - Lose Control,501,5,,2406436,"-480,435",19413411,"-118,629",1577964769
30,-1,Bad Bunny - NUEVAYoL,85,5,,2324558,"-393,084",17975924,"-135,471",363370977
31,=,Chappell Roan - Pink Pony Club,226,18,,2310021,"-342,119",17450039,"+25,244",432042623
32,=,"The Weeknd - One Of The Girls (w/ JENNIE, Lily-Rose Depp)",540,2,(x2),2249293,"-267,416",17424993,"+40,829",1628312907
33,+2,Ariana Grande - dandelion,3,17,,2238733,"-259,172",8165259,"+2,238,733",8165259
34,+2,yung kai - blue,120,22,,2227964,"-205,482",16925568,"-112,133",288974902
35,-2,Kendrick Lamar - tv off (w/ Lefty Gunplay),128,5,,2151316,"-357,830",17427541,"-136,266",448082111
36,+5,The Goo Goo Dolls - Iris,563,32,,2149498,"-193,677",16519868,"-97,832",898967692
37,+10,Lord Huron - The Night We Met,972,15,,2142901,"-71,902",16426275,"-17,456",1708051912
38,+5,Fuerza Regida - ME JALO (w/ Grupo Frontera),94,38,,2138545,"-191,125",15769559,"+2,977",180309156
39,-5,Alleh - capaz (merengueton) (w/ Yorghaki),99,34,,2129054,"-379,452",16183548,"+108,620",213376137
40,-1,Sabrina Carpenter - Taste,220,2,(x3),2101883,"-246,552",16295632,"-1,921",921608460
41,-1,Ariana Grande - we can't be friends (wait for your love),388,1,(x13),2077799,"-270,284",14628615,"+424,826",1302145014
42,-4,KAROL G - Si Antes Te Hubiera Conocido,283,4,,2039137,"-324,156",15170264,"+79,887",1087919400
43,+3,Tito Double P - TATTOO,31,21,,2037557,"-214,209",15952530,"-155,676",75731376
44,=,"Bad Bunny - VeLDÁ (w/ Omar Courtz, Dei V)",85,8,,2033682,"-264,715",15370618,"+36,726",276092864
45,-3,Playboi Carti - RATHER LIE (w/ The Weeknd),17,3,(x1),2020731,"-314,808",19051048,"-799,011",64029059
46,+3,Arctic Monkeys - I Wanna Be Yours,998,11,,2011382,"-152,025",15447933,"-74,732",2402402830
47,+3,The Neighbourhood - Sweater Weather,1764,14,,2004464,"-158,054",15485152,"-204,439",3050619240
48,-11,Bad Bunny - VOY A LLeVARTE PA PR,85,7,,1989798,"-381,236",15438256,"-78,640",312087202
49,-4,Playboi Carti - EVIL J0RDAN,17,1,(x2),1985022,"-297,980",19139575,"-1,074,111",74091580
50,+1,Neton Vega - Morena (w/ Peso Pluma),44,50,,1947293,"-210,702",14144868,"+126,606",80263564
51,+10,Fuerza Regida - Por Esos Ojos,47,34,,1926959,"-57,276",12791817,"+300,144",92681348
52,+1,j-hope - MONA LISA,10,12,,1926722,"-203,175",17382715,"-377,048",26438442
53,+14,The Marías - No One Noticed,142,51,,1870726,"-63,418",13970396,"+46,083",241888067
54,+5,"Tyler, The Creator - See You Again (w/ Kali Uchis)",757,13,,1859845,"-148,636",14276684,"-124,837",1495101438
55,-7,Coldplay - Yellow,1553,15,,1836889,"-334,138",14964079,"-260,141",2186247038
56,-2,Teddy Swims - Bad Dreams,148,41,,1823745,"-296,256",13963546,"+44,318",258595344
57,-5,Ariana Grande - warm,3,20,,1812263,"-334,548",7295898,"+1,812,263",7295898
58,+11,Gabito Ballesteros - 7 Dias (w/ Tito Double P),59,15,,1796675,"-123,839",12989900,"+36,023",140827457
59,-4,WizTheMc - Show Me Love (w/ bees & honey),26,50,,1782930,"-332,056",14470354,"+9,594",46636334
60,-4,Bruno Mars - Just the Way You Are,863,27,,1772485,"-305,281",14406334,"-165,735",1188048376
61,+3,Sabrina Carpenter - Please Please Please,297,1,(x19),1769754,"-192,705",13680629,"-21,139",1327495007
62,-4,Beéle - Mi Refe (w/ Ovy On The Drums),88,52,,1760585,"-263,790",13767838,"+46,481",168129329
63,-6,Ariana Grande - Hampstead,3,33,,1754965,"-273,668",6687943,"+1,754,965",6687943
64,-1,The Police - Every Breath You Take,1263,34,,1748684,"-220,788",13510216,"-82,208",1509438022
65,=,Neton Vega - Loco,94,14,,1727010,"-227,427",13432439,"-53,581",260880324
66,-4,Selena Gomez - Ojos Tristes (w/ benny blanco),9,62,,1717437,"-253,436",12845787,"+391,676",15498440
67,+7,Arctic Monkeys - 505,1183,40,,1703173,"-125,127",13024902,"-40,878",1655157132
68,-8,Ariana Grande - past life,3,29,,1695474,"-302,031",6689992,"+1,695,474",6689992
69,-3,Coldplay - Viva La Vida,975,27,,1670619,"-271,665",13023521,"-90,192",1513355657
70,+19,Earl Agustin - Tibok,18,42,,1669085,"+3,304",12204587,"-318,483",33976983
71,+7,Sabrina Carpenter - Busy Woman,45,11,,1665390,"-107,352",12504209,"+50,366",99605328
72,+1,Tate McRae - Revolving door,38,18,,1656874,"-197,255",13777028,"+3,551",95084491
73,-5,Hozier - Too Sweet,374,2,(x10),1646071,"-287,924",13381643,"-130,201",1380277439
74,+9,Jung Kook - Seven (w/ Latto),625,1,(x71),1645857,"-32,138",11979916,"+13,472",2044312084
75,+4,d4vd - Feel It,61,65,,1633178,"-117,165",12282533,"+112,259",95122353
76,-5,Bruno Mars - Locked out of Heaven,1249,21,,1624907,"-234,084",12838688,"-144,145",1524923023
77,+7,sombr - back to friends,13,57,,1621343,"-52,622",12660975,"+247,043",20928823
78,-3,Ariana Grande - intro (end of the world) - extended,3,27,,1611858,"-211,600",6467135,"+1,611,858",6467135
79,-9,Rauw Alejandro - Qué Pasaría... (w/ Bad Bunny),136,13,,1591933,"-292,666",12329654,"+32,402",372801329
80,+18,Imogen Heap - Headlock,87,63,,1589921,"-11,400",11716116,"-44,531",138069209
81,-9,Doechii - DENIAL IS A RIVER,87,16,,1572889,"-282,808",13407382,"-265,556",216681284
82,-1,Tate McRae - greedy,518,1,(x34),1546235,"-172,757",12081012,"+52,495",1633275319
83,-1,"Tyler, The Creator - Like Him (w/ Lola Young)",154,20,,1544039,"-136,394",11954202,"-170,058",358443948
84,+4,Neton Vega - M&M,38,59,,1528882,"-137,729",11002977,"+80,854",61830480
85,-9,Shaboozey - A Bar Song (Tipsy),350,5,,1515538,"-301,408",11713498,"-40,380",1166660500
