Position,Change,Artist and Title,Days,Peak,Multiplier,Streams,Streams Change,7-Day Streams,7-Day Change,Total Streams
1,=,Lady Gaga - Die With A Smile (w/ Bruno Mars),233,1,(x168),6287055,"-8,328",43393237,"-529,307",2192421375
2,+1,ROSÉ - APT. (w/ Bruno Mars),170,1,(x28),5329469,"+331,119",34619889,"-663,346",1407543419
3,+1,Billie Eilish - BIRDS OF A FEATHER,324,1,(x25),4942734,"-25,351",34329077,"-241,700",2308271340
4,-2,Alex Warren - Ordinary,58,2,(x1),4594177,"-404,688",32405118,"+405,609",176104784
5,+2,Gracie Abrams - That’s So True,170,3,(x7),4026439,"-63,805",27695503,"-36,336",871810468
6,-1,Doechii - Anxiety,32,2,(x6),3978897,"-204,000",29148505,"-792,399",155273535
7,-1,Kendrick Lamar - luther,135,2,(x20),3972474,"-200,951",29417267,"-467,303",734124148
8,=,Bad Bunny - DtMF,91,1,(x16),3948103,"-27,955",27282252,"-361,004",609157547
9,=,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",39,9,,3652161,"+44,384",23111622,"+607,223",101700972
10,+1,Benson Boone - Beautiful Things,443,1,(x35),3437808,"-60,248",22978406,"+12,763",1978003700
11,+4,Bad Bunny - BAILE INoLVIDABLE,91,3,(x1),3400625,"+2,145",23321873,"-360,299",456219803
12,=,Lola Young - Messy,124,8,,3386250,"-93,251",22609679,"-4,961",453802217
13,+6,Sabrina Carpenter - Espresso,359,1,(x32),3320425,"+71,596",21387527,"+91,059",2079577636
14,-1,Gigi Perez - Sailor Song,231,6,,3303364,"-158,962",24193642,"-131,571",827336500
15,-1,JENNIE - like JENNIE,30,7,,3250090,"-158,951",24101050,"-466,918",116570198
16,=,Drake - NOKIA,51,16,,3196607,"-153,853",20636614,"+519,707",133902350
17,+1,Alemán - Te Quería Ver (w/ Neton Vega),60,17,,3194969,"-79,037",21984133,"-25,538",160276209
18,+2,Kendrick Lamar - Not Like Us,335,1,(x10),3122504,"-102,606",21528495,"-276,270",1363825715
19,-2,Tate McRae - Sports car,72,14,,3087429,"-250,946",22417790,"-63,974",208145199
20,+2,Billie Eilish - WILDFLOWER,324,8,,3065857,"-150,291",22410171,"-180,628",1025926642
21,=,The Weeknd - Timeless (w/ Playboi Carti),191,2,(x1),3039069,"-177,580",21377521,"-123,318",728816184
