Position,Change,Artist and Title,Days,Peak,Multiplier,Streams,Streams Change,7-Day Streams,7-Day Change,Total Streams
1,=,Lady Gaga - Die With A Smile (w/ Bruno Mars),231,1,(x166),6275816,"+54,426",44428682,"-262,003",2179838937
2,=,Billie Eilish - BIRDS OF A FEATHER,322,1,(x25),5032487,"+30,689",34950151,"-159,088",2298360521
3,=,Alex Warren - Ordinary,56,3,(x3),4844100,"+47,788",31732213,"+177,165",166511742
4,=,ROSÉ - APT. (w/ Bruno Mars),168,1,(x28),4737581,"+49,138",36014480,"-590,795",1397215600
5,=,Kendrick Lamar - luther,133,2,(x20),4435203,"+157,423",30288705,"-163,366",725978249
6,=,Doechii - Anxiety,30,2,(x6),4150219,"-49,093",30619370,"-729,254",147111741
7,=,Gracie Abrams - That’s So True,168,3,(x7),4110402,"+54,081",27858599,"+97,807",863693785
8,=,Bad Bunny - DtMF,89,1,(x16),3907183,"+101,964",27964094,"-225,799",601233386
9,+3,Gigi Perez - Sailor Song,229,6,,3663273,"+238,946",24367519,"+86,837",820570810
10,-1,Ariana Grande - twilight zone,7,3,(x1),3529863,"-139,987",26719094,"+3,529,863",26719094
11,-1,JENNIE - like JENNIE,28,7,,3510684,"-3,836",25124022,"-501,263",109911067
12,+1,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",37,12,,3452425,"+69,615",22018833,"+421,705",94441034
13,-2,Billie Eilish - WILDFLOWER,322,8,,3440546,"-5,973",22872301,"-119,740",1019644637
14,+2,Bad Bunny - BAILE INoLVIDABLE,89,3,(x1),3362283,"+85,073",24017336,"-230,447",449420698
15,+2,Lola Young - Messy,122,8,,3358224,"+92,539",22604288,"-34,541",446936466
16,-1,Benson Boone - Beautiful Things,441,1,(x35),3323875,"+20,468",22975365,"-92,106",1971067836
17,-3,Tate McRae - Sports car,70,14,,3318028,"-18,530",22382542,"+17,864",201719395
18,+1,Alemán - Te Quería Ver (w/ Neton Vega),58,17,,3277299,"+151,170",21938126,"+210,371",153807234
19,+2,The Weeknd - Timeless (w/ Playboi Carti),189,2,(x1),3204606,"+146,017",21671522,"-146,404",722560466
20,+3,Drake - NOKIA,49,20,,3157890,"+174,868",19497800,"+493,271",127355283
21,-1,Kendrick Lamar - Not Like Us,333,1,(x10),3103381,"+14,134",22116704,"-365,817",1357478101
22,=,Sabrina Carpenter - Espresso,357,1,(x32),3064827,"+30,998",21384636,"-123,818",2073008382
23,-5,Jimin - Who,259,1,(x20),3040333,"-153,159",22313328,"-313,266",1443807626
24,=,Kendrick Lamar - All The Stars (w/ SZA),665,2,(x14),2907566,"+29,722",19898952,"-143,679",1162306180
25,+2,Lady Gaga - Abracadabra,60,2,(x1),2750934,"+61,643",19204977,"-157,326",242057564
26,+2,Bad Bunny - EoO,89,9,,2739201,"+121,053",19360573,"-190,547",279623633
27,-2,Teddy Swims - Lose Control,505,5,,2706420,"-53,621",18991205,"-190,674",1588720749
28,-2,Lil Tecca - Dark Thoughts,21,18,,2649874,"-85,215",19255156,"-422,694",55873404
29,+3,"Chappell Roan - Good Luck, Babe!",360,5,,2571810,"+101,593",18289650,"-224,807",1396781051
30,-1,Neton Vega - Morena (w/ Peso Pluma),48,29,,2558736,"+33,464",15828684,"+529,667",89828185
31,+7,WizTheMc - Show Me Love (w/ bees & honey),30,31,,2548998,"+207,314",15250457,"+430,600",55749652
32,+1,"The Weeknd - One Of The Girls (w/ JENNIE, Lily-Rose Depp)",544,2,(x2),2487019,"+69,466",17156752,"-194,067",1637950755
33,+2,Bad Bunny - NUEVAYoL,89,5,,2445402,"+88,530",17333913,"-26,894",373056569
34,+3,Chappell Roan - Pink Pony Club,230,18,,2428220,"+81,419",17225939,"-55,533",441651429
35,-4,The Goo Goo Dolls - Iris,567,29,,2403333,"-84,711",16699406,"-94,860",908760691
36,+13,Alleh - capaz (merengueton) (w/ Yorghaki),103,34,,2393083,"+246,679",16295951,"+19,552",222558714
37,-1,Kendrick Lamar - tv off (w/ Lefty Gunplay),132,5,,2372878,"+17,111",16711731,"-149,480",457507956
38,-8,Neton Vega - Loco,98,14,,2340861,"-175,254",14490546,"+395,789",269723945
39,+5,"Jombriel - VITAMINA (w/ DFZM, Jøtta)",28,39,,2306958,"+114,095",12766271,"+728,328",45251169
40,-6,Ariana Grande - dandelion,7,17,,2281720,"-80,259",17779245,"+2,281,720",17779245
41,-2,j-hope - MONA LISA,14,12,,2280571,"-32,678",15436948,"-474,183",35382277
42,-1,Sabrina Carpenter - Taste,224,2,(x3),2269365,"+17,876",15903754,"-71,875",930683509
43,-3,Lord Huron - The Night We Met,976,15,,2267191,+326,15897925,"-139,109",1717361737
44,-1,yung kai - blue,124,22,,2239412,"+36,792",15836599,"-151,046",297718561
45,-3,The Neighbourhood - Sweater Weather,1768,14,,2220298,"-26,633",15241081,"-21,907",3059409101
46,+7,KAROL G - Si Antes Te Hubiera Conocido,287,4,,2216607,"+110,356",15292777,"+117,215",1096497272
47,-1,The Marías - No One Noticed,146,46,,2213237,"+59,760",14350539,"+166,271",250408142
48,+2,Fuerza Regida - ME JALO (w/ Grupo Frontera),98,38,,2184950,"+41,574",15456022,"-64,910",189017596
49,+5,sombr - back to friends,17,49,,2182107,"+97,662",13458039,"+179,908",29171974
50,-5,Arctic Monkeys - I Wanna Be Yours,1002,11,,2163530,"-10,673",14941072,"-117,209",2410944196
51,-4,Coldplay - Yellow,1557,15,,2157074,"+7,646",14697130,"-106,079",2194730809
52,-4,Bad Bunny - VOY A LLeVARTE PA PR,89,7,,2151266,"+4,524",15336396,"-70,631",320710488
53,+3,"Bad Bunny - VeLDÁ (w/ Omar Courtz, Dei V)",89,8,,2149240,"+113,399",15206539,"-69,779",284639063
54,-3,Playboi Carti - RATHER LIE (w/ The Weeknd),21,3,(x1),2099505,"-34,834",15724922,"-846,414",72702626
55,=,Ariana Grande - we can't be friends (wait for your love),392,1,(x13),2077682,"+7,212",15583729,"+80,848",1310663077
56,-4,"Tyler, The Creator - See You Again (w/ Kali Uchis)",761,13,,2032870,"-75,142",14202200,"-108,827",1503309395
57,+2,Teddy Swims - Bad Dreams,152,41,,2026882,"+23,656",14054427,"+50,278",266612411
58,+7,Fuerza Regida - Por Esos Ojos,51,34,,1967222,"+21,792",13608010,"+193,189",100532143
59,+1,Playboi Carti - EVIL J0RDAN,21,1,(x2),1947871,"-46,981",15013679,"-864,369",82218560
60,+6,Sabrina Carpenter - Busy Woman,49,11,,1940372,+608,12983284,"+69,146",107330675
61,-3,Bruno Mars - Just the Way You Are,867,27,,1922984,"-82,608",13772182,"-188,811",1195831414
62,-1,Tate McRae - Revolving door,42,18,,1918946,"-54,145",13238439,"-212,149",102844453
63,=,Tito Double P - TATTOO,35,21,,1912528,"-55,197",14526023,"-309,090",83697956
