Position,Change,Artist and Title,Days,Peak,Multiplier,Streams,Streams Change,7-Day Streams,7-Day Change,Total Streams
1,=,Lady Gaga - Die With A Smile (w/ Bruno Mars),230,1,(x165),6221390,"-31,837",44690685,"-294,084",2173563121
2,=,Billie Eilish - BIRDS OF A FEATHER,321,1,(x25),5001798,"+95,355",35109239,"-195,213",2293328034
3,=,Alex Warren - Ordinary,55,3,(x2),4796312,"+55,695",31555048,"+71,545",161667642
4,=,ROSÉ - APT. (w/ Bruno Mars),167,1,(x28),4688443,"-28,225",36605275,"-790,991",1392478019
5,=,Kendrick Lamar - luther,132,2,(x20),4277780,"+30,136",30452071,"-423,095",721543046
6,=,Doechii - Anxiety,29,2,(x6),4199312,"-44,668",31348624,"-733,854",142961522
7,=,Gracie Abrams - That’s So True,167,3,(x7),4056321,"+47,873",27760792,"-78,014",859583383
8,=,Bad Bunny - DtMF,88,1,(x16),3805219,"-176,573",28189893,"-317,046",597326203
9,+1,Ariana Grande - twilight zone,6,3,(x1),3669850,"+65,471",23189231,"+3,669,850",23189231
10,+1,JENNIE - like JENNIE,27,7,,3514520,"-57,875",25625285,"-509,007",106400383
11,+6,Billie Eilish - WILDFLOWER,321,8,,3446519,"+265,663",22992041,"-84,336",1016204091
12,-3,Gigi Perez - Sailor Song,228,6,,3424327,"-238,053",24280682,"-116,629",816907537
13,-1,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",36,12,,3382810,"-137,679",21597128,"+415,091",90988609
14,+1,Tate McRae - Sports car,69,14,,3336558,"+39,596",22364678,"+59,970",198401367
15,-1,Benson Boone - Beautiful Things,440,1,(x35),3303407,"-27,728",23067471,"-45,669",1967743961
16,-3,Bad Bunny - BAILE INoLVIDABLE,88,3,(x1),3277210,"-83,511",24247783,"-334,245",446058415
17,-1,Lola Young - Messy,121,8,,3265685,"+81,363",22638829,"-127,887",443578242
18,+1,Jimin - Who,258,1,(x20),3193492,"+22,007",22626594,"-330,775",1440767293
19,-1,Alemán - Te Quería Ver (w/ Neton Vega),57,17,,3126129,"-45,410",21727755,"+147,474",150529935
20,=,Kendrick Lamar - Not Like Us,332,1,(x10),3089247,"-5,536",22482521,"-390,719",1354374720
21,=,The Weeknd - Timeless (w/ Playboi Carti),188,2,(x1),3058589,"-15,032",21817926,"-319,920",719355860
22,=,Sabrina Carpenter - Espresso,356,1,(x32),3033829,"+14,538",21508454,"-170,512",2069943555
23,=,Drake - NOKIA,48,23,,2983022,"+82,040",19004529,"+218,636",124197393
24,=,Kendrick Lamar - All The Stars (w/ SZA),664,2,(x14),2877844,"+27,385",20042631,"-314,744",1159398614
25,+2,Teddy Swims - Lose Control,504,5,,2760041,"+59,554",19181879,"-53,680",1586014329
26,-1,Lil Tecca - Dark Thoughts,20,18,,2735089,"-37,986",19677850,"-311,952",53223530
27,-1,Lady Gaga - Abracadabra,59,2,(x1),2689291,"-51,921",19362303,"-199,057",239306630
28,=,Bad Bunny - EoO,88,9,,2618148,"-73,356",19551120,"-340,438",276884432
29,+4,Neton Vega - Morena (w/ Peso Pluma),47,29,,2525272,"+56,754",15299017,"+501,350",87269449
30,+12,Neton Vega - Loco,97,14,,2516115,"+284,913",14094757,"+488,571",267383084
31,-2,The Goo Goo Dolls - Iris,566,29,,2488044,"-86,480",16794266,"+53,304",906357358
32,-2,"Chappell Roan - Good Luck, Babe!",359,5,,2470217,"-90,147",18514457,"-310,517",1394209241
33,+1,"The Weeknd - One Of The Girls (w/ JENNIE, Lily-Rose Depp)",543,2,(x2),2417553,"-19,710",17350819,"-37,211",1635463736
34,+2,Ariana Grande - dandelion,6,17,,2361979,"-37,228",15497525,"+2,361,979",15497525
35,-3,Bad Bunny - NUEVAYoL,88,5,,2356872,"-119,968",17360807,"-293,640",370611167
36,+1,Kendrick Lamar - tv off (w/ Lefty Gunplay),131,5,,2355767,"-5,206",16861211,"-213,275",455135078
37,-2,Chappell Roan - Pink Pony Club,229,18,,2346801,"-86,374",17281472,"-122,639",439223209
