Position,Change,Artist and Title,Days,Peak,Multiplier,Streams,Streams Change,7-Day Streams,7-Day Change,Total Streams
1,=,Lady Gaga - Die With A Smile (w/ Bruno Mars),246,1,(x181),5972962,"-331,518",43002147,"-445,703",2271925697
2,=,Alex Warren - Ordinary,71,2,(x5),4890888,"-304,521",34324819,"-330,648",239771201
3,=,Billie Eilish - BIRDS OF A FEATHER,337,1,(x25),4848227,"-248,422",34855994,"-382,540",2373698826
4,=,ROSÉ - APT. (w/ Bruno Mars),183,1,(x28),4602389,"-31,251",32197178,"-281,052",1467497277
5,=,Kendrick Lamar - luther,148,2,(x20),3826269,"-209,560",27749531,"-370,337",786022847
6,+1,Gracie Abrams - That’s So True,183,3,(x7),3759865,"-136,195",27045015,"-292,222",922695315
7,-1,JENNIE - like JENNIE,43,5,,3725157,"-298,534",25948367,"+156,232",162627772
8,+1,Gigi Perez - Sailor Song,244,6,,3488989,"-176,959",24913635,"-177,604",874076711
9,+1,Benson Boone - Beautiful Things,456,1,(x35),3425459,"-169,891",23425662,"+45,772",2020278532
10,-2,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",52,5,,3398184,"-428,448",25924773,"-548,456",148847729
11,+1,Lola Young - Messy,137,8,,3305597,"-153,788",22890595,"-173,063",496243766
12,-1,Bad Bunny - DtMF,104,1,(x16),3276133,"-268,580",24319025,"-619,191",655531484
13,=,Sabrina Carpenter - Espresso,372,1,(x32),3174388,"-136,442",22820709,"-316,616",2121528654
14,+1,Doechii - Anxiety,45,2,(x6),3130230,"-135,361",22905211,"-569,089",199652467
15,-1,Billie Eilish - WILDFLOWER,337,8,,3084025,"-202,900",22025414,"-155,871",1067739008
16,=,Lady Gaga - Abracadabra,75,2,(x1),2959689,"-168,638",20393320,"+378,591",282552858
17,+3,Drake - NOKIA,64,15,,2958657,"-39,909",20559910,"-270,771",173061185
18,NEW,Morgan Wallen - I Ain't Comin' Back (w/ Post Malone),1,18,,2876867,,2876867,"+2,876,867",2876867
19,+2,The Weeknd - Timeless (w/ Playboi Carti),204,2,(x1),2828766,"-152,829",20204847,"-332,092",767575699
20,-3,Tate McRae - Sports car,85,14,,2818913,"-267,252",20302813,"-294,041",246561991
21,-3,Alemán - Te Quería Ver (w/ Neton Vega),73,13,,2797804,"-256,069",21099229,"-602,017",200698814
22,=,WizTheMc - Show Me Love (w/ bees & honey),45,20,,2791068,"-154,719",19424110,"-264,610",97442692
23,-4,Bad Bunny - BAILE INoLVIDABLE,104,3,(x1),2754439,"-268,203",20749696,"-549,964",495813693
24,-1,Jimin - Who,274,1,(x20),2729309,"-88,049",19486470,"-301,854",1487511366
25,-1,Kendrick Lamar - Not Like Us,348,1,(x10),2597036,"-113,357",18442134,"-317,538",1399216789
26,+1,NIKI - You'll Be in My Heart - Spotify Singles,27,20,,2570981,"-65,746",18815819,"+57,968",53784658
27,+1,"Chappell Roan - Good Luck, Babe!",375,5,,2509953,"-117,680",17510370,"-45,174",1434369915
28,+1,Teddy Swims - Lose Control,520,5,,2483215,"-143,797",17588270,"-270,671",1627154224
29,-4,Kendrick Lamar - All The Stars (w/ SZA),680,2,(x14),2481307,"-187,407",17954941,"-280,007",1202755199
30,+1,"The Weeknd - One Of The Girls (w/ JENNIE, Lily-Rose Depp)",559,2,(x2),2423506,"-103,916",17441254,"-162,860",1675708678
31,-5,sombr - back to friends,32,26,,2421886,"-223,276",17102301,"+42,192",64314268
32,+1,Chappell Roan - Pink Pony Club,245,18,,2412223,"-23,367",16501268,"-118,123",477217893
33,-3,Neton Vega - Morena (w/ Peso Pluma),63,24,,2324887,"-215,268",17637168,"-417,030",128306389
34,-2,The Marías - No One Noticed,161,32,,2258056,"-193,571",15440235,"+161,248",282749378
35,+4,Bad Bunny - EoO,104,9,,2243641,"-91,046",16258824,"-369,388",316863376
36,=,The Goo Goo Dolls - Iris,582,29,,2243195,"-134,870",15845963,"-177,639",943905547
37,-2,Sabrina Carpenter - Taste,239,2,(x3),2226128,"-154,422",16454394,"-372,830",965855222
38,-1,Cup of Joe - Multo,14,24,,2180019,"-185,091",17263370,"-319,086",32031882
39,NEW,Ed Sheeran - Azizam (w/ Googoosh),1,39,,2156384,,2156384,"+2,156,384",2156384
40,+1,ATLXS - PASSO BEM SOLTO - Slowed,23,40,,2130213,"-69,737",14737854,"-11,281",40506045
41,-7,"Jombriel - VITAMINA (w/ DFZM, Jøtta)",43,32,,2121181,"-263,649",16168535,"-285,853",79317323
42,-2,Arctic Monkeys - I Wanna Be Yours,1017,11,,2109519,"-111,745",15044145,"-75,972",2443312080
43,=,The Neighbourhood - Sweater Weather,1783,14,,2107936,"-84,099",14809290,"-242,919",3091380691
44,-2,Lord Huron - The Night We Met,991,15,,2091776,"-102,766",14746304,"+41,184",1749715292
45,-7,Alleh - capaz (merengueton) (w/ Yorghaki),118,34,,2073483,"-283,461",15302082,"-358,103",256190877
46,-2,KAROL G - Si Antes Te Hubiera Conocido,302,4,,2070797,"-109,584",15278977,"-478,523",1129749465
47,-2,Kendrick Lamar - tv off (w/ Lefty Gunplay),147,5,,2046619,"-104,279",14413453,"-156,479",489311920
48,+5,Teddy Swims - Bad Dreams,167,41,,2002059,"-29,827",13814371,"-238,868",296750198
49,+3,yung kai - blue,139,22,,1973385,"-63,072",14867004,"-173,498",330289507
50,-3,Bad Bunny - NUEVAYoL,104,5,,1950115,"-175,684",14734700,"-418,163",406225186
51,+15,"Tyler, The Creator - See You Again (w/ Kali Uchis)",776,13,,1905683,"+4,241",13081041,"-17,477",1531694128
52,+9,FloyyMenor - Gata Only (w/ Cris Mj),432,2,(x1),1904810,"-49,835",13483677,"-267,706",1520007062
53,+10,The Police - Every Breath You Take,1282,34,,1903250,"-26,538",13662382,"-193,066",1547340467
54,+3,Lil Tecca - Dark Thoughts,36,18,,1902723,"-77,006",13786805,"-363,834",88507924
55,+1,sombr - undressed,23,55,,1883389,"-107,658",12681494,"+123,724",37198449
56,-6,Neton Vega - Loco,113,14,,1881388,"-176,251",14320163,"-403,173",301161266
57,-2,Hozier - Too Sweet,393,2,(x10),1872022,"-145,778",13360493,"-166,844",1416215356
58,-7,Coldplay - Yellow,1572,15,,1869878,"-185,705",13856429,"-261,246",2224743214
59,-13,Fuerza Regida - ME JALO (w/ Grupo Frontera),113,38,,1862228,"-268,540",14221946,"-280,169",220379098
60,NEW,Lana Del Rey - Bluebird,1,60,,1858576,,1858576,"+1,858,576",1858576
61,-3,Sabrina Carpenter - Please Please Please,316,1,(x19),1857419,"-120,301",13625092,"-309,600",1364000672
62,+3,d4vd - Feel It,80,57,,1849603,"-75,313",13254361,"-86,602",131414986
63,-4,Tito Double P - TATTOO,50,21,,1840877,"-132,080",13653750,"-295,714",113601370
64,-10,Bad Bunny - VOY A LLeVARTE PA PR,104,7,,1834103,"-190,901",14258828,"-507,088",351947949
65,+8,Shaboozey - A Bar Song (Tipsy),369,5,,1830050,"-15,356",12220058,"-34,254",1199247560
66,-6,Ariana Grande - twilight zone,22,3,(x1),1824067,"-147,146",14108207,"-806,678",63558812
67,+14,Tate McRae - Revolving door,57,18,,1803804,"+146,016",11302422,"+45,493",128386651
68,=,Coldplay - Viva La Vida,994,27,,1795756,"-88,905",12586782,"-100,225",1548127366
69,+11,Post Malone - I Had Some Help (Feat. Morgan Wallen) (w/ Morgan Wallen),343,1,(x1),1770267,"+58,425",11501772,"+73,316",1027878287
70,-22,Fuerza Regida - Por Esos Ojos,66,34,,1768209,"-332,428",13851230,"-357,469",130378524
71,-7,"Bad Bunny - VeLDÁ (w/ Omar Courtz, Dei V)",104,8,,1764347,"-163,201",13633980,"-461,207",315202525
72,+3,Benson Boone - Sorry I'm Here For Someone Else,37,72,,1743095,"-80,321",11571413,"+172,127",54414069
73,-4,Rauw Alejandro - Qué Pasaría... (w/ Bad Bunny),155,13,,1734868,"-148,951",12380619,"-195,219",406234579
74,=,Ravyn Lenae - Love Me Not,31,73,,1730383,"-109,331",11879790,"+11,068",47205472
75,-8,Ariana Grande - we can't be friends (wait for your love),407,1,(x13),1724450,"-163,182",12642163,"-229,724",1339171985
76,-14,Neton Vega - M&M,57,54,,1722847,"-207,988",13087767,"-365,031",98218497
77,-7,Lady Gaga - Poker Face,85,64,,1712786,"-157,472",11800528,"+352,879",113295465
78,-6,Sabrina Carpenter - Busy Woman,64,11,,1705461,"-145,258",12690173,"-337,944",135408307
79,-2,Arctic Monkeys - 505,1202,40,,1674792,"-62,550",11662725,"-93,737",1688835285
80,-2,Bruno Mars - Just the Way You Are,882,27,,1633878,"-102,394",12001542,"-302,748",1222909366
81,-10,Beéle - Mi Refe (w/ Ovy On The Drums),107,52,,1629963,"-227,983",12447797,"-352,248",203156718
82,-6,Bruno Mars - Locked out of Heaven,1268,21,,1587726,"-159,352",11799264,"-401,431",1557722629
83,+8,Maanu - Jhol (w/ Annural Khalid),21,82,,1563655,"-35,341",11014119,"-18,339",30363189
84,+5,Radiohead - Creep,505,84,,1563415,"-49,464",10712112,"-55,721",674779703
85,=,Chrystal - The Days - NOTION Remix (w/ NOTION),103,49,,1561278,"-85,378",10758058,"-149,329",173894984
86,-2,Jung Kook - Seven (w/ Latto),644,1,(x71),1551036,"-99,646",11375535,"-119,912",2075921968
87,+6,Esau Ortiz - Triple Lavada,11,87,,1544319,"-40,849",10768906,"-17,325",16287278
88,-6,Djo - End of Beginning,427,1,(x3),1531382,"-124,875",11155990,"-157,666",1372143118
89,+1,The Weeknd - Starboy (w/ Daft Punk),1758,1,(x40),1524247,"-81,603",10794952,"-80,497",3041507825
90,-7,Gabito Ballesteros - 7 Dias (w/ Tito Double P),78,15,,1513938,"-142,129",11243764,"-182,167",172575449
91,-3,Tate McRae - greedy,537,1,(x34),1507742,"-121,314",11174496,"-269,532",1665205839
92,+4,Imogen Heap - Headlock,106,63,,1494528,"-76,543",10963534,"-151,990",169257318
93,+29,Raim Laode - Lesung Pipi,6,93,,1485836,"+77,807",8611696,"+1,485,836",8611696
94,-8,"Gracie Abrams - I Love You, I'm Sorry",263,15,,1480652,"-156,318",10867423,"-173,765",576147589
95,+16,Morgan Wallen - Just In Case,29,83,,1474349,"+20,880",9731712,"-2,492",41614607
96,+7,Cigarettes After Sex - Apocalypse,982,52,,1464069,"-31,243",10346807,"+8,823",1355491962
97,+42,Kushagra - Finding Her (w/ Bharath),11,95,,1457371,"+88,041",10053375,"+61,627",15500794
98,-11,j-hope - MONA LISA,29,12,,1456266,"-175,795",11439924,"-370,321",62260729
99,=,Vance Joy - Riptide,2251,16,,1450914,"-66,188",10092542,"-74,292",2161367840
100,-2,Los Dareyes De La Sierra - Vita Fer (w/ Tito Double P),14,98,,1447581,"-81,038",9834670,"+103,719",18744525
101,-22,Clave Especial - COMO CAPO (w/ Fuerza Regida),18,79,,1445023,"-286,077",11111132,"-167,330",27227303
102,-8,Charli xcx - Guess featuring billie eilish (w/ Billie Eilish),251,3,(x1),1439733,"-145,167",10146470,"+109,252",553691270
