Position,Change,Artist,Title,Feat Artist,Days,Peak,Multiplier,Streams,Streams Change,7-Day Streams,7-Day Change,Total Streams
1,=,Lady Gaga,Die With A Smile,Bruno Mars,241,1,176,5817171,"-735,935",43171349,"+116,068",2241293827
2,=,Billie Eilish,BIRDS OF A FEATHER,,332,1,25,4714619,"-502,132",35943512,"+155,269",2348774202
3,=,ROSÉ,APT.,Bruno Mars,178,1,28,4515991,"-693,282",32795640,"-170,313",1445025363
4,=,Alex Warren,Ordinary,,66,2,1,4343445,"-542,268",34388402,"+161,091",214675540
5,+2,Kendrick Lamar,luther,,143,2,20,3765532,"-348,186",28395997,"+133,111",766152566
6,=,Gracie Abrams,That’s So True,,178,3,7,3557635,"-613,176",27849107,"-161,536",903378746
7,-2,W Sound,La Plena - W Sound 05,"Beéle, Ovy On The Drums",47,5,,3431980,"-755,781",25800151,"+390,406",130542697
8,+2,Gigi Perez,Sailor Song,,239,6,,3400501,"-183,991",25593769,"+182,701",856148069
9,-1,Bad Bunny,DtMF,,99,1,16,3254360,"-745,458",25910600,"-144,130",638466637
10,+4,JENNIE,like JENNIE,,38,7,,3223922,"-203,774",23695619,"+158,716",143331023
11,=,Sabrina Carpenter,Espresso,,367,1,32,3108880,"-450,387",22895135,"+205,559",2105376092
12,-3,Doechii,Anxiety,,40,2,6,3074293,"-583,577",24827007,"-304,584",183479419
13,-1,Benson Boone,Beautiful Things,,451,1,35,2976006,"-538,932",22370198,"+6,090",2003343814
14,+3,Billie Eilish,WILDFLOWER,,332,8,,2959946,"-216,380",22931093,"-32,185",1051849866
15,+6,Jimin,Who,,269,1,20,2943544,"+32,679",21004018,"-36,717",1473879305
16,=,Alemán,Te Quería Ver,Neton Vega,68,13,,2914828,"-355,528",22632450,"+38,718",185784769
17,-4,Lola Young,Messy,,132,8,,2873375,"-566,117",22994733,"+4,287",479666038
18,-3,Bad Bunny,BAILE INoLVIDABLE,,99,3,1,2824373,"-490,371",22015182,"-143,756",481203114
19,-1,Drake,NOKIA,,59,15,,2765407,"-351,378",21575364,"-140,346",158383467
20,+9,NIKI,You'll Be in My Heart - Spotify Singles,,22,20,,2681980,"+94,363",17480506,"+599,076",40238436
21,+1,Tate McRae,Sports car,,80,14,,2663095,"-224,090",20955938,"-45,226",231809458
22,-3,The Weeknd,Timeless,Playboi Carti,199,2,1,2641418,"-384,170",21419771,"-160,485",753037858
23,+3,Lady Gaga,Abracadabra,,70,2,1,2571247,"-207,060",17821755,"+323,488",267509092
24,+12,Cup of Joe,Multo,,9,24,,2510107,"+44,177",16815074,"+878,324",19744549
25,-5,WizTheMc,Show Me Love,bees & honey,40,20,,2442842,"-499,880",19665456,"+14,216",83404146
26,-2,Neton Vega,Morena,Peso Pluma,58,24,,2436287,"-397,694",18172529,"-42,357",115939489
27,=,Kendrick Lamar,All The Stars,SZA,675,2,14,2427926,"-248,249",19048079,"-234,672",1189904359
28,-5,Kendrick Lamar,Not Like Us,,343,1,10,2425209,"-437,965",19556758,"-255,356",1386063038
29,+5,Chappell Roan,"Good Luck, Babe!",,370,5,,2314309,"-180,270",17401735,"-58,261",1421668433
30,-5,Teddy Swims,Lose Control,,515,5,,2306111,"-485,644",18017631,"-59,162",1614663820
31,+1,The Weeknd,One Of The Girls,"JENNIE, Lily-Rose Depp",554,2,2,2266652,"-261,504",17786164,"-87,686",1663062232
32,+3,Jombriel,VITAMINA,"DFZM, Jøtta",38,32,,2214247,"-257,520",16003009,"+225,496",67834802
33,+8,sombr,back to friends,,27,32,,2208990,"-49,560",16351908,"+251,149",51679507
34,-1,Chappell Roan,Pink Pony Club,,240,18,,2207691,"-308,500",16646882,"+22,321",465440507
35,+14,yung kai,blue,,134,22,,2202377,"+11,068",15557610,"+39,811",319816189
36,-6,Sabrina Carpenter,Taste,,234,2,3,2179950,"-402,178",16764015,"+123,160",954162906
37,-9,Bad Bunny,EoO,,99,9,,2171753,"-425,085",17694995,"-214,707",305373143
38,+7,The Goo Goo Dolls,Iris,,577,29,,2133632,"-79,383",16414168,"-114,877",932406231
39,+4,Neton Vega,Loco,,108,14,,2073190,"-143,231",15106539,"+171,231",291130714
40,-9,KAROL G,Si Antes Te Hubiera Conocido,,297,4,,2069851,"-491,913",16079896,"+67,148",1119102103
41,+1,Arctic Monkeys,I Wanna Be Yours,,1012,11,,2045814,"-188,230",15243563,"-35,899",2432547793
42,-4,Alleh,capaz (merengueton),Yorghaki,113,34,,2034594,"-398,650",16117245,"+71,141",245356633
43,+22,The Marías,No One Noticed,,156,37,,2032522,"+77,810",14893030,"+105,533",271296377
44,-7,Bad Bunny,NUEVAYoL,,99,5,,2014405,"-425,641",15606519,"-143,952",395944937
45,+16,Lord Huron,The Night We Met,,986,15,,2007621,"-24,474",15233904,"-20,527",1739008704
46,=,Fuerza Regida,ME JALO,Grupo Frontera,108,38,,1988262,"-208,079",14761665,"-15,342",210341755
47,+3,Ariana Grande,twilight zone,,17,3,1,1959194,"-230,688",17887567,"-616,349",53599681
48,-9,Bad Bunny,VOY A LLeVARTE PA PR,,99,7,,1952220,"-394,960",15125531,"+118,600",341988521
