Position,Change,Artist,Title,Feat Artist,Days,Peak,Multiplier,Streams,Streams Change,7-Day Streams,7-Day Change,Total Streams
1,=,Lady Gaga,Die With A Smile,Bruno Mars,240,1,175,6553106,"+134,441",43055281,"+266,051",2235476656
2,=,Billie Eilish,BIRDS OF A FEATHER,,331,1,25,5216751,"-14,016",35788243,"+274,017",2344059583
3,+1,ROSÉ,APT.,Bruno Mars,177,1,28,5209273,"+325,832",32965953,"-120,196",1440509372
4,-1,Alex Warren,Ordinary,,65,2,1,4885713,"-335,823",34227311,"+291,536",210332095
5,+2,W Sound,La Plena - W Sound 05,"Beéle, Ovy On The Drums",46,5,,4187761,"+241,121",25409745,"+535,600",127110717
6,=,Gracie Abrams,That’s So True,,177,3,7,4170811,"+118,724",28010643,"+144,372",899821111
7,-2,Kendrick Lamar,luther,,142,2,20,4113718,"-82,888",28262886,"+141,244",762387034
8,=,Bad Bunny,DtMF,,98,1,16,3999818,"+104,494",26054730,"+51,715",635212277
9,=,Doechii,Anxiety,,39,2,6,3657870,"-41,449",25131591,"-321,027",180405126
10,=,Gigi Perez,Sailor Song,,238,6,,3584492,"-82,101",25411068,"+281,128",852747568
11,+1,Sabrina Carpenter,Espresso,,366,1,32,3559267,"+68,263",22689576,"+238,842",2102267212
12,+3,Benson Boone,Beautiful Things,,450,1,35,3514938,"+135,251",22364108,"+77,130",2000367808
13,=,Lola Young,Messy,,131,8,,3439492,"-39,168",22990446,"+53,242",476792663
14,-3,JENNIE,like JENNIE,,37,7,,3427696,"-141,229",23536903,"+177,606",140107101
15,+2,Bad Bunny,BAILE INoLVIDABLE,,98,3,1,3314744,"+10,341",22158938,"-85,881",478378741
16,-2,Alemán,Te Quería Ver,Neton Vega,67,13,,3270356,"-129,465",22593732,"+75,387",182869941
17,+1,Billie Eilish,WILDFLOWER,,331,8,,3176326,"-63,570",22963278,"+110,469",1048889920
18,+1,Drake,NOKIA,,58,15,,3116785,"-112,643",21715710,"-79,822",155618060
19,+1,The Weeknd,Timeless,Playboi Carti,198,2,1,3025588,"-135,270",21580256,"-13,481",750396440
20,+2,WizTheMc,Show Me Love,bees & honey,39,20,,2942722,"-112,956",19651240,"+219,970",80961304
21,+2,Jimin,Who,,268,1,20,2910865,"-120,298",21040735,"-88,904",1470935761
22,-1,Tate McRae,Sports car,,79,14,,2887185,"-225,769",21001164,"-200,244",229146363
23,+1,Kendrick Lamar,Not Like Us,,342,1,10,2863174,"-51,400",19812114,"-259,330",1383637829
24,+3,Neton Vega,Morena,Peso Pluma,57,24,,2833981,"+92,064",18214886,"+81,199",113503202
25,+1,Teddy Swims,Lose Control,,514,5,,2791755,"+37,869",18076793,"+39,455",1612357709
26,+7,Lady Gaga,Abracadabra,,69,2,1,2778307,"+197,209",17498267,"+144,013",264937845
27,-2,Kendrick Lamar,All The Stars,SZA,674,2,14,2676175,"-85,139",19282751,"-237,111",1187476433
28,+2,Bad Bunny,EoO,,98,9,,2596838,"-16,191",17909702,"-192,642",303201390
29,+8,NIKI,You'll Be in My Heart - Spotify Singles,,21,29,,2587617,"+74,604",16881430,"+643,561",37556456
30,+1,Sabrina Carpenter,Taste,,233,2,3,2582128,"-16,830",16640855,"+256,490",951982956
31,+4,KAROL G,Si Antes Te Hubiera Conocido,,296,4,,2561764,"+12,444",16012748,"+245,830",1117032252
32,=,The Weeknd,One Of The Girls,"JENNIE, Lily-Rose Depp",553,2,2,2528156,"-58,210",17873850,"+70,662",1660795580
33,+3,Chappell Roan,Pink Pony Club,,239,18,,2516191,"-14,155",16624561,"+44,609",463232816
34,=,Chappell Roan,"Good Luck, Babe!",,369,5,,2494579,"-60,548",17459996,"-42,619",1419354124
35,+6,Jombriel,VITAMINA,"DFZM, Jøtta",37,35,,2471767,"+64,733",15777513,"+189,007",65620555
36,+2,Cup of Joe,Multo,,8,28,,2465930,"-33,175",15936750,"+1,168,238",17234442
37,+6,Bad Bunny,NUEVAYoL,,98,5,,2440046,"+71,768",15750471,"-111,567",393930532
38,+1,Alleh,capaz (merengueton),Yorghaki,112,34,,2433244,"+1,658",16046104,"+88,248",243322039
39,+6,Bad Bunny,VOY A LLeVARTE PA PR,,98,7,,2347180,"+5,989",15006931,"+216,317",340036301
40,-12,Ed Sheeran,Azizam,,9,27,,2341085,"-367,200",15549308,"+607,799",20126645
41,+1,sombr,back to friends,,26,32,,2258550,"-121,144",16100759,"+238,784",49470517
42,+9,Arctic Monkeys,I Wanna Be Yours,,1011,11,,2234044,"+48,553",15279462,"+112,982",2430501979
43,+3,Neton Vega,Loco,,107,14,,2216421,"-68,140",14935308,"+37,922",289057524
44,+5,Bad Bunny,VeLDÁ,"Omar Courtz, Dei V",98,8,,2214339,"-11,215",14749817,"+49,362",303782884
45,-5,The Goo Goo Dolls,Iris,,576,29,,2213015,"-207,819",16529045,"-193,652",930272599
46,+9,Fuerza Regida,ME JALO,Grupo Frontera,107,38,,2196341,"+53,944",14777007,"-41,065",208353493
47,+1,Teddy Swims,Bad Dreams,,161,41,,2192418,"-48,509",14267511,"+70,710",285128245
48,+11,Fuerza Regida,Por Esos Ojos,,60,34,,2192304,"+66,626",14007257,"+122,595",118719598
49,+5,yung kai,blue,,133,22,,2191309,"+44,426",15517799,"-11,388",317613812
50,-21,Ariana Grande,twilight zone,,16,3,1,2189882,"-440,863",18503916,"-722,847",51640487
51,+6,Tito Double P,TATTOO,,44,21,,2179372,"+42,781",14391958,"+127,948",102126992
52,-8,The Neighbourhood,Sweater Weather,,1777,14,,2178659,"-172,196",15103802,"+90,409",3078750060
53,-3,Kendrick Lamar,tv off,Lefty Gunplay,141,5,,2177854,"-25,244",14950333,"-59,634",477076321
54,+7,The Police,Every Breath You Take,,1276,34,,2154107,"+57,791",14466898,"+7,221",1535832192
55,+1,ATLXS,PASSO BEM SOLTO - Slowed,,17,55,,2145287,"+3,793",13485560,"+392,439",27913478
56,-9,Lil Tecca,Dark Thoughts,,30,18,,2109689,"-156,868",16010055,"-223,557",76830808
57,-5,FloyyMenor,Gata Only,Cris Mj,426,2,1,2104244,"-68,272",14243189,"-43,629",1508627629
58,-5,Sabrina Carpenter,Please Please Please,,310,1,19,2079702,"-87,317",13736385,"+200,394",1352455282
59,+3,Neton Vega,M&M,,51,54,,2061197,"-26,681",14004681,"+36,476",87191927
60,-2,Coldplay,Yellow,,1566,15,,2049977,"-81,147",14334661,"+170,504",2212936762
61,+2,Lord Huron,The Night We Met,,985,15,,2032095,"-18,497",15254431,"-60,658",1737001083
62,+5,Beéle,Mi Refe,Ovy On The Drums,101,52,,1995654,"+13,443",13144242,+160,192704575
63,+2,Hozier,Too Sweet,,387,2,10,1993842,"-45,024",13251454,"+117,236",1404848705
64,+2,Bruno Mars,Locked out of Heaven,,1262,21,,1972595,"-16,562",12219789,"+200,268",1547895960
65,-5,The Marías,No One Noticed,,155,37,,1954712,"-142,096",14787497,-564,269263855
66,+4,d4vd,Feel It,,74,57,,1937078,+873,13546572,"+21,121",120097703
67,-3,Sabrina Carpenter,Busy Woman,,58,11,,1926139,"-117,266",13480404,"+81,566",124644273
68,+3,Rauw Alejandro,Qué Pasaría...,Bad Bunny,149,13,,1924590,"-5,497",12622884,"+148,866",395778550
69,+5,Shaboozey,A Bar Song (Tipsy),,363,5,,1884584,"+20,280",12058599,"+95,358",1188912086
70,+2,"Tyler, The Creator",See You Again,Kali Uchis,770,13,,1882094,"-41,066",13353437,"+28,886",1520495181
71,+2,Coldplay,Viva La Vida,,988,27,,1841097,"-54,884",12759864,"+7,158",1537381681
72,-4,Ariana Grande,we can't be friends (wait for your love),,401,1,13,1813185,"-140,989",13586251,"-176,422",1328343007
73,+6,Tate McRae,greedy,,531,1,34,1796035,"+18,761",11756100,"-78,100",1655827378
74,-5,Bruno Mars,Just the Way You Are,,876,27,,1784279,"-152,347",12825128,"-234,311",1212692103
75,+11,Gabito Ballesteros,7 Dias,Tito Double P,72,15,,1784268,"+88,163",11749630,"-66,810",163115953
76,+1,Selena Gomez,Ojos Tristes,benny blanco,22,54,,1749769,"-60,817",12230529,"-26,643",39275043
77,+11,Xavi,En Privado,Manuel Turizo,24,77,,1740714,"+63,833",10720055,"+157,516",35135409
78,-62,Lana Del Rey,"Henry, come on",,2,16,,1714610,"-1,652,036",5081256,"+1,714,610",5081256
79,+6,Post Malone,I Had Some Help (Feat. Morgan Wallen),Morgan Wallen,337,1,1,1702809,"+5,858",10991812,"+137,437",1018079324
80,+15,Clave Especial,COMO CAPO,Fuerza Regida,12,80,,1698442,"+86,089",10569241,"+180,926",17814613
81,-5,j-hope,MONA LISA,,23,12,,1686111,"-140,476",13063177,"-204,414",52506916
