Position,Change,Artist,Title,Feat Artist,Days,Peak,Multiplier,Streams,Streams Change,7-Day Streams,7-Day Change,Total Streams
1,=,Lady Gaga,Die With A Smile,Bruno Mars,242,1,177,6163972,"+346,801",43454326,"+282,977",2247457799
2,=,Billie Eilish,BIRDS OF A FEATHER,,333,1,25,5032151,"+317,532",36028758,"+85,246",2353806353
3,+1,Alex Warren,Ordinary,,67,2,1,5001736,"+658,291",34480858,"+92,456",219677276
4,-1,ROSÉ,APT.,Bruno Mars,179,1,28,4503072,"-12,919",32793108,"-2,532",1449528435
5,=,Kendrick Lamar,luther,,144,2,20,4063051,"+297,519",28518519,"+122,522",770215617
6,=,Gracie Abrams,That’s So True,,179,3,7,3924024,"+366,389",27757947,"-91,160",907302770
7,+3,JENNIE,like JENNIE,,39,7,,3723974,"+500,052",24117920,"+422,301",147054997
8,-1,W Sound,La Plena - W Sound 05,"Beéle, Ovy On The Drums",48,5,,3646076,"+214,096",26010868,"+210,717",134188773
9,-1,Gigi Perez,Sailor Song,,240,6,,3556742,"+156,241",25665637,"+71,868",859704811
10,-1,Bad Bunny,DtMF,,100,1,16,3433589,"+179,229",25796485,"-114,115",641900226
11,+1,Doechii,Anxiety,,41,2,6,3361504,"+287,211",24620342,"-206,665",186840923
12,+5,Lola Young,Messy,,133,8,,3287059,"+413,684",23129887,"+135,154",482953097
13,-2,Sabrina Carpenter,Espresso,,368,1,32,3280033,"+171,153",23158745,"+263,610",2108656125
14,-1,Benson Boone,Beautiful Things,,452,1,35,3236745,"+260,739",22490781,"+120,583",2006580559
15,-1,Billie Eilish,WILDFLOWER,,333,8,,3176657,"+216,711",22817951,"-113,142",1055026523
16,=,Alemán,Te Quería Ver,Neton Vega,69,13,,3080387,"+165,559",22523122,"-109,328",188865156
17,+1,Bad Bunny,BAILE INoLVIDABLE,,100,3,1,2969226,"+144,853",21923768,"-91,414",484172340
18,+5,Lady Gaga,Abracadabra,,71,2,1,2964702,"+393,455",18370974,"+549,219",270473794
19,+2,Tate McRae,Sports car,,81,14,,2964398,"+301,303",20900385,"-55,553",234773856
20,-1,Drake,NOKIA,,60,15,,2956649,"+191,242",21390537,"-184,827",161340116
21,+1,The Weeknd,Timeless,Playboi Carti,200,2,1,2929394,"+287,976",21218534,"-201,237",755967252
22,-7,Jimin,Who,,270,1,20,2880556,"-62,988",20784822,"-219,196",1476759861
23,+2,WizTheMc,Show Me Love,bees & honey,41,20,,2792304,"+349,462",19606873,"-58,583",86196450
24,-4,NIKI,You'll Be in My Heart - Spotify Singles,,23,20,,2774680,"+92,700",17968496,"+487,990",43013116
25,+3,Kendrick Lamar,Not Like Us,,344,1,10,2647106,"+221,897",19374507,"-182,251",1388710144
26,-2,Cup of Joe,Multo,,10,24,,2633991,"+123,884",17477385,"+662,311",22378540
27,+2,Chappell Roan,"Good Luck, Babe!",,371,5,,2556942,"+242,633",17389119,"-12,616",1424225375
28,-1,Kendrick Lamar,All The Stars,SZA,676,2,14,2536036,"+108,110",18788920,"-259,159",1192440395
29,+2,The Weeknd,One Of The Girls,"JENNIE, Lily-Rose Depp",555,2,2,2513312,"+246,660",17732344,"-53,820",1665575544
30,-4,Neton Vega,Morena,Peso Pluma,59,24,,2474818,"+38,531",18144282,"-28,247",118414307
31,-1,Teddy Swims,Lose Control,,516,5,,2473035,"+166,924",17954631,"-63,000",1617136855
32,+4,Sabrina Carpenter,Taste,,235,2,3,2424574,"+244,624",16924572,"+160,557",956587480
33,=,sombr,back to friends,,28,32,,2421077,"+212,087",16537651,"+185,743",54100584
34,=,Chappell Roan,Pink Pony Club,,241,18,,2370747,"+163,056",16775073,"+128,191",467811254
35,-3,Jombriel,VITAMINA,"DFZM, Jøtta",39,32,,2356354,"+142,107",16198247,"+195,238",70191156
36,+2,The Goo Goo Dolls,Iris,,578,29,,2316281,"+182,649",16344516,"-69,652",934722512
37,=,Bad Bunny,EoO,,100,9,,2298509,"+126,756",17439193,"-255,802",307671652
38,+2,KAROL G,Si Antes Te Hubiera Conocido,,298,4,,2241601,"+171,750",16151428,"+71,532",1121343704
39,-4,yung kai,blue,,135,22,,2229146,"+26,769",15595514,"+37,904",322045335
40,+3,The Marías,No One Noticed,,157,37,,2161068,"+128,546",14915562,"+22,532",273457445
41,+4,Lord Huron,The Night We Met,,987,15,,2146049,"+138,428",15177189,"-56,715",1741154753
42,+8,ATLXS,PASSO BEM SOLTO - Slowed,,19,42,,2127560,"+203,657",14121708,"+339,042",31964941
43,-2,Arctic Monkeys,I Wanna Be Yours,,1013,11,,2122293,"+76,479",15152492,"-91,071",2434670086
44,-5,Neton Vega,Loco,,109,14,,2113376,"+40,186",15213672,"+107,133",293244090
45,+4,The Neighbourhood,Sweater Weather,,1779,14,,2110965,"+170,356",15188042,"+92,991",3082801634
46,+1,Ariana Grande,twilight zone,,18,3,1,2100863,"+141,669",17331144,"-556,423",55700544
47,-3,Bad Bunny,NUEVAYoL,,100,5,,2100080,"+85,675",15579068,"-27,451",398045017
48,-2,Fuerza Regida,ME JALO,Grupo Frontera,109,38,,2066000,"+77,738",14697368,"-64,297",212407755
49,-7,Alleh,capaz (merengueton),Yorghaki,114,34,,2060555,"+25,961",16020219,"-97,026",247417188
50,+6,Ed Sheeran,Azizam,,11,27,,2059117,"+193,267",16118097,"+184,734",24051612
51,+9,Coldplay,Yellow,,1568,15,,2049564,"+248,716",14528527,"+151,472",2216787174
