Position,Change,Artist,Title,Feat Artist,Days,Peak,Multiplier,Streams,Streams Change,7-Day Streams,7-Day Change,Total Streams
1,=,Lady Gaga,Die With A Smile,Bruno Mars,244,1,179,5994515,"-201,426",43368946,"-236,075",2259648255
2,=,Alex Warren,Ordinary,,69,2,3,4897209,"-213,210",34510177,"-117,990",229684904
3,=,Billie Eilish,BIRDS OF A FEATHER,,335,1,25,4881871,"-183,855",35327591,"-360,060",2363753950
4,=,ROSÉ,APT.,Bruno Mars,181,1,28,4257981,"-216,851",32472932,"-284,742",1458261248
5,+2,JENNIE,like JENNIE,,41,5,,3934813,"+45,699",25168228,"+515,264",154878924
6,-1,Kendrick Lamar,luther,,146,2,20,3896230,"-152,672",28177796,"-235,522",778160749
7,-1,Gracie Abrams,That’s So True,,181,3,7,3736117,"-264,386",27486863,"-297,867",915039390
8,=,W Sound,La Plena - W Sound 05,"Beéle, Ovy On The Drums",50,5,,3664049,"-106,042",26400851,"+88,368",141622913
9,=,Gigi Perez,Sailor Song,,242,6,,3536604,"-143,755",25184435,"-277,014",866921774
10,=,Bad Bunny,DtMF,,102,1,16,3333072,"-144,268",25100300,"-403,760",648710638
11,=,Benson Boone,Beautiful Things,,454,1,35,3287203,"-102,758",23115982,"+171,258",2013257723
12,+1,Lola Young,Messy,,135,8,,3220953,"-83,781",22902243,"-162,547",489478784
13,+2,Billie Eilish,WILDFLOWER,,335,8,,3171179,+823,22259559,"-271,779",1061368058
14,=,Sabrina Carpenter,Espresso,,370,1,32,3112271,"-162,769",23158562,"-93,856",2115043436
15,-3,Doechii,Anxiety,,43,2,6,3105038,"-205,647",23790389,"-526,390",193256646
16,+1,Lady Gaga,Abracadabra,,73,2,1,2939454,"-112,140",19358713,"+461,030",276464842
17,-1,Alemán,Te Quería Ver,Neton Vega,71,13,,2908454,"-165,073",21938968,"-369,515",194847137
18,+1,Tate McRae,Sports car,,83,14,,2896507,"-90,043",20529696,"-189,635",240656913
19,-1,Bad Bunny,BAILE INoLVIDABLE,,102,3,1,2867707,"-128,858",21432608,"-293,027",490036612
20,=,The Weeknd,Timeless,Playboi Carti,202,2,1,2834292,"-129,502",20678915,"-336,197",761765338
