Position,Change,Artist,Title,Feat Artist,Days,Peak,Multiplier,Streams,Streams Change,7-Day Streams,7-Day Change,Total Streams
1,=,Lady Gaga,Die With A Smile,Bruno Mars,245,1,180,6304480,"+309,965",43447850,"+78,904",2265952735
2,=,Alex Warren,Ordinary,,70,2,4,5195409,"+298,200",34655467,"+145,290",234880313
3,=,Billie Eilish,BIRDS OF A FEATHER,,336,1,25,5096649,"+214,778",35238534,"-89,057",2368850599
4,=,ROSÉ,APT.,Bruno Mars,182,1,28,4633640,"+375,659",32478230,"+5,298",1462894888
5,+1,Kendrick Lamar,luther,,147,2,20,4035829,"+139,599",28119868,"-57,928",782196578
6,-1,JENNIE,like JENNIE,,42,5,,4023691,"+88,878",25792135,"+623,907",158902615
7,=,Gracie Abrams,That’s So True,,182,3,7,3896060,"+159,943",27337237,"-149,626",918935450
8,=,W Sound,La Plena - W Sound 05,"Beéle, Ovy On The Drums",51,5,,3826632,"+162,583",26473229,"+72,378",145449545
9,=,Gigi Perez,Sailor Song,,243,6,,3665948,"+129,344",25091239,"-93,196",870587722
10,+1,Benson Boone,Beautiful Things,,455,1,35,3595350,"+308,147",23379890,"+263,908",2016853073
11,-1,Bad Bunny,DtMF,,103,1,16,3544713,"+211,641",24938216,"-162,084",652255351
12,=,Lola Young,Messy,,136,8,,3459385,"+238,432",23063658,"+161,415",492938169
13,+1,Sabrina Carpenter,Espresso,,371,1,32,3310830,"+198,559",23137325,"-21,237",2118354266
14,-1,Billie Eilish,WILDFLOWER,,336,8,,3286925,"+115,746",22181285,"-78,274",1064654983
15,=,Doechii,Anxiety,,44,2,6,3265591,"+160,553",23474300,"-316,089",196522237
16,=,Lady Gaga,Abracadabra,,74,2,1,3128327,"+188,873",20014729,"+656,016",279593169
17,+1,Tate McRae,Sports car,,84,14,,3086165,"+189,658",20596854,"+67,158",243743078
18,-1,Alemán,Te Quería Ver,Neton Vega,72,13,,3053873,"+145,419",21701246,"-237,722",197901010
19,=,Bad Bunny,BAILE INoLVIDABLE,,103,3,1,3022642,"+154,935",21299660,"-132,948",493059254
20,+1,Drake,NOKIA,,63,15,,2998566,"+175,520",20830681,"-90,060",170102528
21,-1,The Weeknd,Timeless,Playboi Carti,203,2,1,2981595,"+147,303",20536939,"-141,976",764746933
22,+1,WizTheMc,Show Me Love,bees & honey,44,20,,2945787,"+244,914",19688720,"+126,010",94651624
23,+1,Jimin,Who,,273,1,20,2817358,"+236,839",19788324,"-205,955",1484782057
24,+1,Kendrick Lamar,Not Like Us,,347,1,10,2710393,"+149,267",18759672,"-138,577",1396619753
25,+1,Kendrick Lamar,All The Stars,SZA,679,2,14,2668714,"+115,118",18234948,"-77,964",1200273892
26,+1,sombr,back to friends,,31,26,,2645162,"+105,297",17060109,"+244,952",61892382
27,-5,NIKI,You'll Be in My Heart - Spotify Singles,,26,20,,2636727,"-109,050",18757851,"+111,637",51213677
28,+2,Chappell Roan,"Good Luck, Babe!",,374,5,,2627633,"+185,162",17555544,"+74,879",1431859962
29,+3,Teddy Swims,Lose Control,,519,5,,2627012,"+216,922",17858941,"+25,037",1624671009
30,+1,Neton Vega,Morena,Peso Pluma,62,24,,2540155,"+121,735",18054198,"-160,744",125981502
31,-2,The Weeknd,One Of The Girls,"JENNIE, Lily-Rose Depp",558,2,2,2527422,"+83,122",17604114,"-33,604",1673285172
32,+1,The Marías,No One Noticed,,160,32,,2451627,"+138,148",15278987,"+380,835",280491322
33,+2,Chappell Roan,Pink Pony Club,,244,18,,2435590,"+179,172",16619391,"+53,570",474805670
34,=,Jombriel,VITAMINA,"DFZM, Jøtta",42,32,,2384830,"+95,631",16454388,"+99,989",77196142
35,+2,Sabrina Carpenter,Taste,,238,2,3,2380550,"+150,514",16827224,"-76,198",963629094
36,+2,The Goo Goo Dolls,Iris,,581,29,,2378065,"+153,794",16023602,"-9,862",941662352
37,-9,Cup of Joe,Multo,,13,24,,2365110,"-143,658",17582456,"-137,999",29851863
38,+1,Alleh,capaz (merengueton),Yorghaki,117,34,,2356944,"+164,773",15660185,"+43,958",254117394
39,-3,Bad Bunny,EoO,,103,9,,2334687,"+98,137",16628212,"-203,259",314619735
40,=,Arctic Monkeys,I Wanna Be Yours,,1016,11,,2221264,"+109,219",15120117,"+71,903",2441202561
41,+2,ATLXS,PASSO BEM SOLTO - Slowed,,22,41,,2199950,"+142,159",14749135,"+191,967",38375832
42,-1,Lord Huron,The Night We Met,,990,15,,2194542,"+106,534",14705120,"+17,400",1747623516
43,-1,The Neighbourhood,Sweater Weather,,1782,14,,2192035,"+109,071",15052209,"-47,302",3089272755
44,+2,KAROL G,Si Antes Te Hubiera Conocido,,301,4,,2180381,"+160,120",15757500,"-167,866",1127678668
45,=,Kendrick Lamar,tv off,Lefty Gunplay,146,5,,2150898,"+126,901",14569932,"+5,867",487265301
46,+4,Fuerza Regida,ME JALO,Grupo Frontera,112,38,,2130768,"+173,640",14502115,"+40,953",218516870
47,=,Bad Bunny,NUEVAYoL,,103,5,,2125799,"+142,033",15152863,"-73,428",404275071
48,+5,Fuerza Regida,Por Esos Ojos,,65,34,,2100637,"+183,303",14208699,"+53,299",128610315
49,+2,Ed Sheeran,Azizam,,14,27,,2085690,"+150,482",15109969,"-509,246",30187244
50,-1,Neton Vega,Loco,,112,14,,2057639,"+88,054",14723336,"-23,040",299279878
51,+3,Coldplay,Yellow,,1571,15,,2055583,"+138,452",14117675,"+36,343",2222873336
52,-8,yung kai,blue,,138,22,,2036457,"-6,895",15040502,"-154,433",328316122
53,+6,Teddy Swims,Bad Dreams,,166,41,,2031886,"+157,620",14053239,"-86,556",294748139
54,-2,Bad Bunny,VOY A LLeVARTE PA PR,,103,7,,2025004,"+103,268",14765916,"-143,881",350113846
55,+6,Hozier,Too Sweet,,392,2,10,2017800,"+161,985",13527337,"+31,071",1414343334
56,+2,sombr,undressed,,22,56,,1991047,"+112,041",12557770,"+279,691",35315060
57,-2,Lil Tecca,Dark Thoughts,,35,18,,1979729,"+83,851",14150639,"-266,991",86605201
58,-1,Sabrina Carpenter,Please Please Please,,315,1,19,1977720,"+96,202",13934692,"-105,845",1362143253
59,-3,Tito Double P,TATTOO,,49,21,,1972957,"+89,965",13949464,"-139,781",111760493
60,-12,Ariana Grande,twilight zone,,21,3,1,1971213,+589,14914885,"-757,468",61734745
61,+2,FloyyMenor,Gata Only,Cris Mj,431,2,1,1954645,"+115,417",13751383,"-100,208",1518102252
62,+2,Neton Vega,M&M,,56,54,,1930835,"+111,892",13452798,"-44,055",96495650
63,+3,The Police,Every Breath You Take,,1281,34,,1929788,"+132,057",13855448,"+1,902",1545437217
64,-2,Bad Bunny,VeLDÁ,"Omar Courtz, Dei V",103,8,,1927548,"+82,996",14095187,"-202,564",313438178
65,-5,d4vd,Feel It,,79,57,,1924916,"+54,596",13340963,"+10,437",129565383
66,+1,"Tyler, The Creator",See You Again,Kali Uchis,775,13,,1901442,"+120,151",13098518,"-65,442",1529788445
67,-2,Ariana Grande,we can't be friends (wait for your love),,406,1,13,1887632,"+73,058",12871887,"-47,901",1337447535
68,+3,Coldplay,Viva La Vida,,993,27,,1884661,"+150,085",12687007,"+57,760",1546331610
69,+1,Rauw Alejandro,Qué Pasaría...,Bad Bunny,154,13,,1883819,"+136,167",12575838,"+6,342",404499711
70,+2,Lady Gaga,Poker Face,,84,64,,1870258,"+144,318",11447649,"+615,462",111582679
71,-3,Beéle,Mi Refe,Ovy On The Drums,106,52,,1857946,"+87,878",12800045,"-120,727",201526755
72,-3,Sabrina Carpenter,Busy Woman,,63,11,,1850719,"+87,582",13028117,"-131,881",133702846
73,+1,Shaboozey,A Bar Song (Tipsy),,368,5,,1845406,"+179,325",12254312,"+87,010",1197417510
74,-1,Ravyn Lenae,Love Me Not,,30,73,,1839714,"+123,087",11868722,"+152,627",45475089
75,=,Benson Boone,Sorry I'm Here For Someone Else,,36,75,,1823416,"+173,216",11399286,"+328,924",52670974
76,+4,Bruno Mars,Locked out of Heaven,,1267,21,,1747078,"+140,454",12200695,"+76,932",1556134903
77,-1,Arctic Monkeys,505,,1201,40,,1737342,"+95,213",11756462,"-47,667",1687160493
78,=,Bruno Mars,Just the Way You Are,,881,27,,1736272,"+111,050",12304290,"-62,147",1221275488
79,+8,Clave Especial,COMO CAPO,Fuerza Regida,17,79,,1731100,"+169,315",11278462,"+163,235",25782280
80,+8,Post Malone,I Had Some Help (Feat. Morgan Wallen),Morgan Wallen,342,1,1,1711842,"+153,535",11428456,"+79,351",1026108020
81,=,Tate McRae,Revolving door,,56,18,,1657788,"+61,640",11256929,"-102,474",126582847
82,+1,Djo,End of Beginning,,426,1,3,1656257,"+75,287",11313656,"-32,448",1370611736
83,+1,Gabito Ballesteros,7 Dias,Tito Double P,77,15,,1656067,"+78,346",11425931,"-4,819",171061511
84,-7,Jung Kook,Seven,Latto,643,1,71,1650682,"+11,241",11495447,"-52,991",2074370932
85,+6,Chrystal,The Days - NOTION Remix,NOTION,102,49,,1646656,"+119,232",10907387,"+41,745",172333706
86,=,Gracie Abrams,"I Love You, I'm Sorry",,262,15,,1636970,"+66,594",11041188,"-14,116",574666937
87,-8,j-hope,MONA LISA,,28,12,,1632061,"+7,477",11810245,"-231,922",60804463
88,+1,Tate McRae,greedy,,536,1,34,1629056,"+92,918",11444028,"+115,516",1663698097
89,+6,Radiohead,Creep,,504,85,,1612879,"+102,080",10767833,"+35,908",673216288
90,+2,The Weeknd,Starboy,Daft Punk,1757,1,40,1605850,"+81,662",10875449,"+65,779",3039983578
91,-9,Maanu,Jhol,Annural Khalid,20,82,,1598996,"+8,928",11032458,"+29,317",28799534
92,-7,Selena Gomez,Ojos Tristes,benny blanco,27,54,,1587459,"+13,764",11803901,"-152,548",47518589
93,-3,Esau Ortiz,Triple Lavada,,10,90,,1585168,"+57,092",10786231,"+174,594",14742959
94,+3,Charli xcx,Guess featuring billie eilish,Billie Eilish,250,3,1,1584900,"+92,867",10037218,"+276,941",552251537
95,+1,Coldplay,The Scientist,,643,79,,1575292,"+71,027",10739636,"+63,333",438481724
96,-3,Imogen Heap,Headlock,,105,63,,1571071,"+48,061",11115524,"-90,387",167762790
97,+5,Linkin Park,Numb,,399,12,,1550003,"+115,015",10129557,"+50,665",597365749
98,+5,Los Dareyes De La Sierra,Vita Fer,Tito Double P,13,98,,1528619,"+99,117",9730951,"+196,469",17296944
99,+10,Vance Joy,Riptide,,2250,16,,1517102,"+122,296",10166834,"+49,403",2159916926
100,-2,Malcolm Todd,Chest Pain (I Love),,17,53,,1516220,"+25,609",10675214,"+28,246",26839808
101,+9,OneRepublic,Counting Stars,,2165,31,,1511717,"+119,348",10099862,"+30,860",1907563551
