Position,Change,Artist,Title,Feat Artist,Days,Peak,Multiplier,Streams,Streams Change,7-Day Streams,7-Day Change,Total Streams
1,=,Lady Gaga,Die With A Smile,Bruno Mars,237,1,172,6230590,"+185,344",42716188,"+9,200",2216279309
2,=,Billie Eilish,BIRDS OF A FEATHER,,328,1,25,5241931,"-164,902",35098325,"+240,133",2328426359
3,=,Alex Warren,Ordinary,,62,2,1,5015199,"+52,089",33507085,"+218,887",195174727
4,=,ROSÉ,APT.,Bruno Mars,174,1,28,4542723,"+32,457",33310297,"-145,720",1425788316
5,=,Kendrick Lamar,luther,,139,2,20,4131752,"-22,351",28439907,"-146,028",749982953
6,=,Gracie Abrams,That’s So True,,174,3,7,4033984,"+60,264",27969144,"-22,337",887552527
7,=,Gigi Perez,Sailor Song,,235,6,,3813618,"-70,929",24829802,"+389,291",841737339
8,=,Bad Bunny,DtMF,,95,1,16,3736832,"-32,933",26284135,"-68,387",623610338
9,=,Doechii,Anxiety,,36,2,6,3631428,"+17,180",26504735,"-567,884",169466257
10,=,W Sound,La Plena - W Sound 05,"Beéle, Ovy On The Drums",43,9,,3575681,"+107,205",24233453,"+192,871",115222062
11,=,Billie Eilish,WILDFLOWER,,328,8,,3442958,"-14,011",22904408,"-3,561",1039108499
12,+1,JENNIE,like JENNIE,,34,7,,3419549,"+65,479",23310313,"-94,971",129710696
13,-1,Lola Young,Messy,,128,8,,3383500,"+13,669",22998299,"+117,815",466576541
14,=,Alemán,Te Quería Ver,Neton Vega,64,13,,3277969,"-10,197",22378234,"+151,840",172908169
15,+1,Sabrina Carpenter,Espresso,,363,1,32,3206127,"+24,760",21941319,"+172,298",2091884874
16,+2,The Weeknd,Timeless,Playboi Carti,195,2,1,3170489,"+3,273",21730563,"+111,900",741086423
17,-2,Bad Bunny,BAILE INoLVIDABLE,,95,3,1,3160734,"-33,964",22545589,"-116,476",468604004
18,+3,Benson Boone,Beautiful Things,,447,1,35,3115945,"+179,927",22397780,"-187,462",1990141741
19,=,Drake,NOKIA,,55,15,,3106413,"-20,816",21985828,"+123,391",146183221
20,-3,Tate McRae,Sports car,,76,14,,3086142,"-81,462",21725850,"-250,416",220127217
21,-1,Jimin,Who,,265,1,20,2990901,"-13,579",21203127,"-202,591",1461970420
22,+1,Ariana Grande,twilight zone,,13,3,1,2872149,"+22,519",20901948,"-797,701",44091179
23,-1,Kendrick Lamar,Not Like Us,,339,1,10,2825537,"-24,400",20636391,"-263,710",1375011111
24,=,Kendrick Lamar,All The Stars,SZA,671,2,14,2802670,"-35,451",19893652,"-75,174",1179292266
25,=,WizTheMc,Show Me Love,bees & honey,36,22,,2764819,"-23,912",18942473,"+423,135",72143127
26,=,The Weeknd,One Of The Girls,"JENNIE, Lily-Rose Depp",550,2,2,2620578,"-35,676",17656296,"+203,025",1653120032
27,=,Bad Bunny,EoO,,95,9,,2600343,"-20,432",18569145,"-17,805",295453577
28,+14,Cup of Joe,Multo,,5,28,,2557927,"+250,711",9766298,"+2,557,927",9766298
29,+1,Teddy Swims,Lose Control,,511,5,,2555785,"+83,701",18195764,"-204,256",1604210093
30,+3,Neton Vega,Morena,Peso Pluma,54,25,,2521674,"+86,968",17956956,"-3,598",105226405
31,+25,Ed Sheeran,Azizam,,6,27,,2491888,"+434,952",12482339,"+2,491,888",12482339
32,+4,sombr,back to friends,,23,32,,2478850,"+88,570",15442196,"+394,405",42432063
33,+1,NIKI,You'll Be in My Heart - Spotify Singles,,18,33,,2478552,"+70,988",14812673,"+617,422",29930736
34,-6,Lady Gaga,Abracadabra,,66,2,1,2478424,"-46,461",17799499,"-210,867",257106129
35,-4,Chappell Roan,"Good Luck, Babe!",,366,5,,2443472,"-28,464",17542423,"-26,745",1411751664
36,-4,The Goo Goo Dolls,Iris,,573,29,,2433331,"-6,165",16893465,"-54,713",923250823
37,-8,Lil Tecca,Dark Thoughts,,27,18,,2394199,"-93,882",16984312,"-340,890",70207842
38,+1,Alleh,capaz (merengueton),Yorghaki,109,34,,2385579,"+23,904",15978592,"+239,175",236144223
39,-1,Lord Huron,The Night We Met,,982,15,,2382691,"+1,692",15646708,"+115,826",1730741254
40,-5,Chappell Roan,Pink Pony Club,,236,18,,2377501,"-13,076",16581050,"+30,700",455804259
41,=,Sabrina Carpenter,Taste,,230,2,3,2353491,"+24,768",15930978,"+102,002",944345122
42,-2,yung kai,blue,,130,22,,2280933,"-73,043",15605581,"+78,313",311084730
43,+5,Jombriel,VITAMINA,"DFZM, Jøtta",34,39,,2251837,"+39,670",15512702,"+58,974",58456913
44,+2,Neton Vega,Loco,,104,14,,2230933,"+16,421",15092779,"-285,182",282475863
