Position,Change,Artist,Title,Feat Artist,Days,Peak,Multiplier,Streams,Streams Change,7-Day Streams,7-Day Change,Total Streams
60,+8,Bruno Mars,Just the Way You Are,,865,27,,2015425,"+176,388",14056706,"-88,168",1191902838
61,-5,Teddy Swims,Bad Dreams,,150,41,,2007194,"+27,429",14031203,"-15,168",262582303
62,-15,Tito Double P,TATTOO,,33,21,,1987747,"-110,833",15307377,"-431,189",79817703
63,-9,Selena Gomez,Ojos Tristes,benny blanco,11,54,,1965363,"-39,459",13351532,"+186,993",19468625
64,+5,d4vd,Feel It,,63,64,,1954332,"+115,530",12586071,"+208,289",98915487
65,-10,Fuerza Regida,Por Esos Ojos,,49,34,,1943722,"-50,699",13271113,"+171,906",96619491
66,-3,Tate McRae,Revolving door,,40,18,,1940243,"+12,561",13571519,"-146,107",98952416
67,-2,Sabrina Carpenter,Busy Woman,,47,11,,1936345,"+27,479",12781610,"+150,932",103450539
68,+21,FloyyMenor,Gata Only,Cris Mj,415,2,1,1930094,"+392,146",11924638,"+277,154",1486200987
69,+3,Hozier,Too Sweet,,376,2,10,1910644,"+129,218",13260742,"-39,038",1383969509
70,+4,Coldplay,Viva La Vida,,977,27,,1893816,"+144,694",13182113,"+216,590",1516998595
71,+6,Bruno Mars,Locked out of Heaven,,1251,21,,1890093,"+186,488",12730175,"-9,162",1528516721
72,-13,Beéle,Mi Refe,Ovy On The Drums,90,52,,1882316,"-64,495",13665192,"-147,839",171958456
73,-3,Arctic Monkeys,505,,1185,40,,1865189,"+64,163",12908347,"-10,637",1658823347
74,-8,Sabrina Carpenter,Please Please Please,,299,1,19,1852510,"-6,031",13494614,"-124,352",1331206058
75,-17,Ariana Grande,warm,,5,20,,1837050,"-120,903",11090901,"+1,837,050",11090901
76,=,Tate McRae,greedy,,520,1,34,1811466,"+101,952",12250972,"+69,760",1636796299
77,-17,Ariana Grande,past life,,5,29,,1796853,"-146,870",10430568,"+1,796,853",10430568
78,-16,Ariana Grande,Hampstead,,5,33,,1781929,"-147,005",10398806,"+1,781,929",10398806
79,=,Imogen Heap,Headlock,,89,63,,1733115,"+55,947",11696294,"+12,598",141479492
80,-2,Doechii,DENIAL IS A RIVER,,89,16,,1683568,"-9,497",12757332,"-341,418",220057917
81,=,"Tyler, The Creator",Like Him,Lola Young,156,20,,1682420,"+32,868",11798480,"-43,741",361775920
82,-11,Gabito Ballesteros,7 Dias,Tito Double P,61,15,,1681950,"-104,191",12810994,"-173,024",144295548
83,-1,Jung Kook,Seven,Latto,627,1,71,1677896,"+52,611",11791542,"-81,228",2047615265
84,+82,NIKI,You'll Be in My Heart - Spotify Singles,,10,84,,1675402,"+435,304",9634459,"+414,860",13256933
85,-1,Gracie Abrams,"I Love You, I'm Sorry",,246,15,,1669353,"+64,587",11490191,"-82,256",548640188
86,-1,Shaboozey,A Bar Song (Tipsy),,352,5,,1667122,"+83,267",11757187,"+19,793",1169911477
87,-12,Rauw Alejandro,Qué Pasaría...,Bad Bunny,138,13,,1632682,"-98,491",12249268,"-187,730",376165184
88,+11,Earl Agustin,Tibok,,20,42,,1629918,"+120,743",11588391,"-217,596",37116076
89,-2,Chrystal,The Days - NOTION Remix,NOTION,86,49,,1622460,"+56,577",11210519,"+25,081",147155026
90,+21,Macklemore & Ryan Lewis,Can't Hold Us,"Macklemore, Ryan Lewis, Ray Dalton",971,57,,1604216,"+162,906",10920544,"+30,608",1215507513
91,+12,Linkin Park,Numb,,383,12,,1594334,"+102,703",10424782,"+136,832",574061602
92,-4,Pitbull,Give Me Everything,"Ne-Yo, AFROJACK, Nayer",231,58,,1590375,"+50,965",10963428,"+46,321",324524494
