Position,Change,Artist,Title,Feat Artist,Days,Peak,Multiplier,Streams,Streams Change,7-Day Streams,7-Day Change,Total Streams
1,=,Lady Gaga,Die With A Smile,Bruno Mars,234,1,169,5701103,"-585,952",43126111,"-267,126",2198122478
2,=,ROSÉ,APT.,Bruno Mars,171,1,28,4686304,"-643,165",34128167,"-491,722",1412229723
3,=,Billie Eilish,BIRDS OF A FEATHER,,325,1,25,4559350,"-383,384",34244941,"-84,136",2312830690
4,=,Alex Warren,Ordinary,,59,2,1,4182354,"-411,823",32711356,"+306,238",180287138
5,=,Gracie Abrams,That’s So True,,171,3,7,3719171,"-307,268",27791153,"+95,650",875529639
6,+1,Kendrick Lamar,luther,,136,2,20,3632421,"-340,053",29036926,"-380,341",737756569
7,+1,Bad Bunny,DtMF,,92,1,16,3398490,"-549,613",26935345,"-346,907",612556037
8,-2,Doechii,Anxiety,,33,2,6,3378877,"-600,020",28449004,"-699,501",158652412
9,+5,Gigi Perez,Sailor Song,,232,6,,3217800,"-85,564",24157778,"-35,864",830554300
10,+5,JENNIE,like JENNIE,,31,7,,3065206,"-184,884",23757124,"-343,926",119635404
11,-2,W Sound,La Plena - W Sound 05,"Beéle, Ovy On The Drums",40,9,,3041574,"-610,587",23552003,"+440,381",104742546
12,+8,Billie Eilish,WILDFLOWER,,325,8,,2992131,"-73,726",22432037,"+21,866",1028918773
13,+9,Jimin,Who,,262,1,20,2980261,"-19,508",21733434,"-327,051",1452875287
14,-4,Benson Boone,Beautiful Things,,444,1,35,2969916,"-467,892",22999305,"+20,899",1980973616
15,-4,Bad Bunny,BAILE INoLVIDABLE,,92,3,1,2968129,"-432,496",23086570,"-235,303",459187932
16,=,Drake,NOKIA,,52,16,,2905753,"-290,854",21133442,"+496,828",136808103
17,-4,Sabrina Carpenter,Espresso,,360,1,32,2903321,"-417,104",21487105,"+99,578",2082480957
18,-1,Alemán,Te Quería Ver,Neton Vega,61,17,,2876110,"-318,859",22007731,"+23,598",163152319
19,-7,Lola Young,Messy,,125,8,,2869088,"-517,162",22636954,"+27,275",456671305
20,+1,The Weeknd,Timeless,Playboi Carti,192,2,1,2801903,"-237,166",21404659,"+27,138",731618087
21,-2,Tate McRae,Sports car,,73,14,,2708321,"-379,108",22303050,"-114,740",210853520
22,-4,Kendrick Lamar,Not Like Us,,336,1,10,2680565,"-441,939",21354647,"-173,848",1366506280
23,=,Kendrick Lamar,All The Stars,SZA,668,2,14,2662598,"-250,688",19964486,"+67,785",1170856280
24,=,Ariana Grande,twilight zone,,10,3,1,2575543,"-337,186",23406927,"-648,124",35712114
25,+1,Neton Vega,Morena,Peso Pluma,51,25,,2478644,"-274,138",17503396,"+531,351",97766960
26,+2,WizTheMc,Show Me Love,bees & honey,33,26,,2428626,"-294,126",17102356,"+645,696",63738690
27,-2,Bad Bunny,EoO,,92,9,,2386460,"-403,020",18827562,"-175,753",287678148
28,+3,Chappell Roan,"Good Luck, Babe!",,363,5,,2372570,"-164,628",17672493,"-64,635",1404266698
29,-2,Teddy Swims,Lose Control,,508,5,,2365273,"-387,027",18681420,"-41,163",1596646189
30,+3,The Weeknd,One Of The Girls,"JENNIE, Lily-Rose Depp",547,2,2,2354338,"-103,156",16963161,"+105,045",1645276068
31,+3,The Goo Goo Dolls,Iris,,570,29,,2248509,"-158,158",17024371,"+99,011",915992063
32,-3,Lady Gaga,Abracadabra,,63,2,1,2247759,"-386,535",18501239,"-186,418",249687337
33,-1,Chappell Roan,Pink Pony Club,,233,18,,2185370,"-286,212",16751002,"-124,651",448793625
34,+8,yung kai,blue,,127,22,,2162566,"-40,131",15283677,"-65,398",304258579
35,-5,Bad Bunny,NUEVAYoL,,92,5,,2158357,"-393,256",16967441,"-166,201",380338418
36,=,Lil Tecca,Dark Thoughts,,24,18,,2132225,"-201,021",18039028,"-389,168",62952978
37,+23,NIKI,You'll Be in My Heart - Spotify Singles,,15,37,,2082904,"+138,848",12416497,"+652,547",22757930
38,+11,Arctic Monkeys,I Wanna Be Yours,,1005,11,,2081713,"-39,349",14901400,"+70,331",2417304230
39,-2,Sabrina Carpenter,Taste,,227,2,3,2056790,"-268,848",15790431,"-45,093",937398891
40,+10,Lord Huron,The Night We Met,,979,15,,2028148,"-64,605",15722888,"-114,753",1723774800
41,=,Fuerza Regida,ME JALO,Grupo Frontera,101,38,,2003604,"-233,802",15270934,"-134,941",195580090
42,-4,KAROL G,Si Antes Te Hubiera Conocido,,290,4,,2002703,"-313,231",15102807,"-36,434",1103022207
43,-4,Jombriel,VITAMINA,"DFZM, Jøtta",31,39,,1988751,"-294,009",14738091,"+589,723",51831793
44,-4,Kendrick Lamar,tv off,Lefty Gunplay,135,5,,1978980,"-258,508",16022857,"-172,336",464104968
45,-10,Alleh,capaz (merengueton),Yorghaki,106,34,,1963453,"-381,543",15863251,"-165,601",229239388
46,+9,sombr,back to friends,,20,46,,1957841,"-61,925",14398776,"+336,498",35327599
47,-1,The Police,Every Breath You Take,,1270,34,,1953967,"-192,919",13881239,"+205,283",1523319261
48,+3,The Neighbourhood,Sweater Weather,,1771,14,,1949360,"-138,890",14976378,"-55,104",3065595618
49,+4,Tito Double P,TATTOO,,38,21,,1942730,"-108,694",13946388,"-94,827",89677764
50,+9,The Marías,No One Noticed,,149,46,,1926989,"-28,287",14515280,"+56,263",256403347
51,-8,Neton Vega,Loco,,101,14,,1901959,"-276,540",15143851,"+174,949",276024175
52,-7,FloyyMenor,Gata Only,Cris Mj,420,2,1,1891865,"-256,008",13543360,"+379,626",1496276305
53,+29,Malcolm Todd,Chest Pain (I Love),,6,53,,1855382,"+166,279",9568547,"+1,855,382",9568547
54,-10,Bad Bunny,VeLDÁ,"Omar Courtz, Dei V",92,8,,1852357,"-312,620",14792560,"-181,325",290885424
55,-1,Neton Vega,M&M,,45,54,,1849224,"-175,497",13205990,"+320,342",75036470
56,-4,Fuerza Regida,Por Esos Ojos,,54,34,,1846536,"-223,173",13877529,"-80,423",106558877
57,+5,d4vd,Feel It,,68,57,,1839563,"-76,394",13268341,"+206,385",108390694
58,-11,Bad Bunny,VOY A LLeVARTE PA PR,,92,7,,1833620,"-297,243",14775788,"-156,178",326862990
59,-1,Ariana Grande,we can't be friends (wait for your love),,395,1,13,1818885,"-170,722",14430627,"-258,914",1316575641
60,-12,Teddy Swims,Bad Dreams,,155,41,,1816540,"-305,168",14081930,"-7,205",272677274
61,+2,j-hope,MONA LISA,,17,12,,1810736,"-79,789",14816033,"-115,986",41254475
62,+6,"Tyler, The Creator",See You Again,Kali Uchis,764,13,,1807185,"-46,023",13847491,"-52,660",1508948929
63,-7,Bruno Mars,Just the Way You Are,,870,27,,1805580,"-213,010",13624179,"+33,095",1201672555
64,=,Coldplay,Yellow,,1560,15,,1758454,"-121,019",14113517,"-78,435",2200360555
65,+7,Arctic Monkeys,505,,1190,40,,1747043,"-72,479",12810076,"+43,870",1667967208
66,-1,Sabrina Carpenter,Please Please Please,,304,1,19,1691137,"-188,171",12915027,"-78,617",1340410034
67,-1,Hozier,Too Sweet,,381,2,10,1678652,"-197,954",12998464,"+32,581",1393275903
68,+2,Sabrina Carpenter,Busy Woman,,52,11,,1667374,"-177,199",13225915,"+1,984",112831243
69,=,Gabito Ballesteros,7 Dias,Tito Double P,66,15,,1658791,"-192,287",12197657,"-137,884",153025114
70,-13,Beéle,Mi Refe,Ovy On The Drums,95,52,,1650564,"-344,930",13081568,"-110,021",181210897
71,=,Coldplay,Viva La Vida,,982,27,,1647434,"-186,505",12913594,"-23,185",1526269251
72,+11,Jung Kook,Seven,Latto,632,1,71,1633374,"-21,815",11713034,"-12,483",2056025118
73,+91,Cup of Joe,Multo,,2,73,,1631783,"+334,091",2929475,"+1,631,783",2929475
74,-13,Sleep Token,Caramel,,3,24,,1631718,"-292,839",6588393,"+1,631,718",6588393
75,+4,ATLXS,PASSO BEM SOLTO - Slowed,,11,75,,1626797,"-126,051",11010669,"+415,915",16054715
76,=,Selena Gomez,Ojos Tristes,benny blanco,16,54,,1615492,"-160,920",13161566,"-101,945",28660006
77,-2,Playboi Carti,RATHER LIE,The Weeknd,24,3,1,1603635,"-179,199",14089190,"-417,096",78118249
78,-11,Tate McRae,greedy,,525,1,34,1590136,"-283,999",12386095,"+43,901",1645661414
79,+19,Earl Agustin,Tibok,,25,42,,1577441,"+50,728",10729895,"-91,644",44706878
80,+6,Imogen Heap,Headlock,,94,63,,1567264,"-55,072",11725382,"-22,657",149794591
81,=,Tate McRae,Revolving door,,45,18,,1566806,"-163,068",12982716,"-90,068",108067207
82,-5,Rauw Alejandro,Qué Pasaría...,Bad Bunny,143,13,,1560951,"-214,773",11915288,"-30,982",384716617
83,-5,Bruno Mars,Locked out of Heaven,,1256,21,,1560718,"-211,609",12313866,"-64,189",1537236889
84,-10,Shaboozey,A Bar Song (Tipsy),,357,5,,1538918,"-250,308",11731905,"+23,380",1178392405
85,-12,Ariana Grande,dandelion,,10,17,,1503899,"-308,578",15149724,"-734,834",23314983
86,+11,Gracie Abrams,"I Love You, I'm Sorry",,251,15,,1492960,"-48,111",11390996,"+9,150",556757065
87,-7,Ed Sheeran,Azizam,,3,27,,1481795,"-251,491",6059132,"+1,481,795",6059132
88,+12,"Tyler, The Creator",Like Him,Lola Young,161,20,,1477237,"-39,781",11163073,"-66,802",369607021
89,+26,Arctic Monkeys,No. 1 Party Anthem,,147,70,,1476352,"+7,199",10481852,"+14,852",233475334
90,-3,Alex Warren,Carry You Home,,72,85,,1463087,"-155,739",11264304,"+67,915",97969122
91,-7,Playboi Carti,EVIL J0RDAN,,24,1,2,1459911,"-192,961",13115018,"-525,111",87206598
92,+10,Djo,End of Beginning,,415,1,3,1455751,"-50,362",10608415,"+83,707",1352706138
93,+3,Empire Of The Sun,We Are The People,,30,93,,1454337,"-89,545",10432741,"+225,574",39611892
