Position,Change,Artist,Title,Feat Artist,Days,Peak,Multiplier,Streams,Streams Change,7-Day Streams,7-Day Change,Total Streams
1,=,Lady Gaga,Die With A Smile,Bruno Mars,228,1,163,6092137,123908,45216017,-322576,2161088504
2,=,ROSÉ,APT.,Bruno Mars,165,1,28,4971352,-206674,38184430,-457023,1383072908
3,=,Billie Eilish,BIRDS OF A FEATHER,,319,1,25,4834044,190558,35512202,-167644,2283419793
4,+2,Alex Warren,Ordinary,,53,4,,4554931,678815,31360794,227177,152130713
5,-1,Doechii,Anxiety,,27,2,6,4314822,236444,32753848,-521645,134518230
6,-1,Kendrick Lamar,luther,,130,2,20,4297979,285217,31378034,-392647,713017622
7,=,Bad Bunny,DtMF,,86,1,16,3918500,173103,28720139,-119419,589539192
8,=,Gracie Abrams,That’s So True,,165,3,7,3780128,156607,27974431,-283889,851518614
9,+3,Ariana Grande,twilight zone,,4,3,1,3609815,386148,15915002,3609815,15915002
10,-1,JENNIE,like JENNIE,,25,7,,3435188,26056,26583217,-508268,99313468
11,=,Gigi Perez,Sailor Song,,226,6,,3424308,170644,24201867,-47842,809820830
12,+1,Bad Bunny,BAILE INoLVIDABLE,,86,3,1,3319122,115690,24885685,-224912,439420484
13,-3,Jimin,Who,,256,1,20,3260463,-46849,23322150,-323803,1434402316
14,+5,Tate McRae,Sports car,,67,14,,3217377,394316,22150100,240622,191767847
15,=,Benson Boone,Beautiful Things,,438,1,35,3135108,186091,23107686,-206053,1961109419
16,+2,Lola Young,Messy,,119,8,,3093884,252071,22910898,-135510,437128235
17,-3,Billie Eilish,WILDFLOWER,,319,8,,3089980,119715,23380800,-264931,1009576716
18,-1,Alemán,Te Quería Ver,Neton Vega,55,17,,3087679,235167,21280922,408874,144232267
19,-3,Kendrick Lamar,Not Like Us,,330,1,10,3039057,184644,23336104,-440045,1348190690
20,+1,The Weeknd,Timeless,Playboi Carti,186,2,1,3010222,235457,22436238,-202368,713223650
21,-1,Sabrina Carpenter,Espresso,,354,1,32,2896583,92840,21840015,-215826,2063890435
22,=,W Sound,La Plena - W Sound 05,"Beéle, Ovy On The Drums",34,22,,2894767,293574,20621386,-20676,84085310
23,+2,Lil Tecca,Dark Thoughts,,18,18,,2801416,280023,20239225,-30634,47715366
24,-1,Kendrick Lamar,All The Stars,SZA,662,2,14,2778517,183704,20734353,-321359,1153670311
25,-1,Bad Bunny,EoO,,86,9,,2724194,161981,20180427,-100470,271574780
26,+1,Lady Gaga,Abracadabra,,57,2,1,2690029,255852,19674118,-148095,233876127
27,+1,Drake,NOKIA,,46,27,,2638728,229803,18638292,-6719,118313389
28,+1,Teddy Swims,Lose Control,,502,5,,2589032,182596,19295575,-117836,1580553801
29,-3,Chappell Roan,"Good Luck, Babe!",,357,5,,2584455,147250,19066800,-159311,1389178660
30,+3,Ariana Grande,dandelion,,4,17,,2571080,332347,10736339,2571080,10736339
31,-1,Bad Bunny,NUEVAYoL,,86,5,,2406478,81920,17832837,-143087,365777455
32,-1,Chappell Roan,Pink Pony Club,,227,18,,2400610,90589,17421608,-28431,434443233
33,+2,Kendrick Lamar,tv off,Lefty Gunplay,129,5,,2336227,184911,17307382,-120159,450418338
34,+2,The Goo Goo Dolls,Iris,,564,32,,2327098,177600,16534981,15113,901294790
35,-3,The Weeknd,One Of The Girls,"JENNIE, Lily-Rose Depp",541,2,2,2296013,46720,17299248,-125745,1630608920
36,+1,Lord Huron,The Night We Met,,973,15,,2294613,151712,16286527,-139748,1710346525
37,+2,Alleh,capaz (merengueton),Yorghaki,100,34,,2293961,164907,16352691,169143,215670098
38,+2,Sabrina Carpenter,Taste,,221,2,3,2275872,173989,16223426,-72206,923884332
39,+6,Playboi Carti,RATHER LIE,The Weeknd,18,3,1,2221245,200514,18245067,-805981,66250304
40,-2,Fuerza Regida,ME JALO,Grupo Frontera,95,38,,2214641,76096,15748821,-20738,182523797
41,+3,Bad Bunny,VeLDÁ,"Omar Courtz, Dei V",86,8,,2198296,164614,15454465,83847,278291160
