Position,Change,Artist,Title,Feat Artist,Days,Peak,Multiplier,Streams,Streams Change,7-Day Streams,7-Day Change,Total Streams
1,=,Lady Gaga,Die With A Smile,Bruno Mars,238,1,173,6225576,"-5,014",42665948,"-50,240",2222504885
2,=,Billie Eilish,BIRDS OF A FEATHER,,329,1,25,5185706,"-56,225",35251544,"+153,219",2333612065
3,=,Alex Warren,Ordinary,,63,2,1,5050119,"+34,920",33713104,"+206,019",200224846
4,=,ROSÉ,APT.,Bruno Mars,175,1,28,4628342,"+85,619",33201058,"-109,239",1430416658
5,=,Kendrick Lamar,luther,,140,2,20,4093757,"-37,995",28098461,"-341,446",754076710
6,=,Gracie Abrams,That’s So True,,175,3,7,4045686,"+11,702",27904428,"-64,716",891598213
7,=,Gigi Perez,Sailor Song,,236,6,,3759144,"-54,474",24925673,"+95,871",845496483
8,+2,W Sound,La Plena - W Sound 05,"Beéle, Ovy On The Drums",44,8,,3754254,"+178,573",24535282,"+301,829",118976316
9,-1,Bad Bunny,DtMF,,96,1,16,3706797,"-30,035",26083749,"-200,386",627317135
10,-1,Doechii,Anxiety,,37,2,6,3581680,"-49,748",25936196,"-568,539",173047937
11,+1,JENNIE,like JENNIE,,35,7,,3399784,"-19,765",23199413,"-110,900",133110480
12,-1,Billie Eilish,WILDFLOWER,,329,8,,3365199,"-77,759",22829061,"-75,347",1042473698
13,+2,Sabrina Carpenter,Espresso,,364,1,32,3332067,"+125,940",22208559,"+267,240",2095216941
14,+4,Benson Boone,Beautiful Things,,448,1,35,3331442,"+215,497",22405347,"+7,567",1993473183
15,-2,Lola Young,Messy,,129,8,,3297970,"-85,530",22938045,"-60,254",469874511
16,-2,Alemán,Te Quería Ver,Neton Vega,65,13,,3291595,"+13,626",22392530,"+14,296",176199764
17,=,Bad Bunny,BAILE INoLVIDABLE,,96,3,1,3155590,"-5,144",22338896,"-206,693",471759594
18,-2,The Weeknd,Timeless,Playboi Carti,196,2,1,3123571,"-46,918",21649528,"-81,035",744209994
19,=,Drake,NOKIA,,56,15,,3088626,"-17,787",21916564,"-69,264",149271847
20,+1,Jimin,Who,,266,1,20,3023313,"+32,412",21186107,"-17,020",1464993733
21,-1,Tate McRae,Sports car,,77,14,,3019007,"-67,135",21426829,"-299,021",223146224
22,+1,Kendrick Lamar,Not Like Us,,340,1,10,2848970,"+23,433",20381980,"-254,411",1377860081
23,+2,WizTheMc,Show Me Love,bees & honey,37,22,,2819777,"+54,958",19213252,"+270,779",74962904
24,=,Kendrick Lamar,All The Stars,SZA,672,2,14,2746678,"-55,992",19732764,"-160,888",1182038944
25,-3,Ariana Grande,twilight zone,,14,3,1,2728681,"-143,468",20100766,"-801,182",46819860
26,+4,Neton Vega,Morena,Peso Pluma,55,25,,2700899,"+179,225",18099119,"+142,163",107927304
27,+2,Teddy Swims,Lose Control,,512,5,,2601975,"+46,190",18091319,"-104,445",1606812068
28,+3,Ed Sheeran,Azizam,,7,27,,2594936,"+103,048",15077275,"+2,594,936",15077275
29,-3,The Weeknd,One Of The Girls,"JENNIE, Lily-Rose Depp",551,2,2,2561026,"-59,552",17730303,"+74,007",1655681058
30,+5,Chappell Roan,"Good Luck, Babe!",,367,5,,2552754,"+109,282",17523367,"-19,056",1414304418
